인덱스,장학금명,재단,장학종류,선발인원,장학혜택,선발대상,신청기간,조회수
4721,남원시 춘향인재 장학 (2022년),춘향장학재단,장학금,총 143명 선발,장학금지급 : 최대 500만원,"중학생, 고등학생, 대학생, 전문대생",2022. 02. 25. (금) ~ 2022. 03. 04. (금),조회 : 556
4722,울산광역시 남구 장학 (2022년),울산광역시남구장학재단,장학금,총 62명 선발,장학금지급 : 최대 500만원,"고등학생, 대학생",2022. 02. 17. (목) ~ 2022. 03. 07. (월),조회 : 706
4723,파주시 청년 취업성공 참여자 모집,파주시,기타장학,총 15명 선발,기타혜택 : 최대 -만원,기타/일반,2022. 02. 14. (월) ~ 2022. 03. 08. (화),조회 : 209
4724,보건의료대학 신입생 노트북 지원사업,일과복지,기타장학,총 00명 선발,활동 지원 : 최대 -만원,"대학생, 전문대생",2022. 02. 14. (월) ~ 2022. 03. 08. (화),"조회 : 1,525"
4725,은평구 지역사회기여 장학 (2022년),은평구민장학재단,장학금,총 23명 선발,장학금지급 : 최대 195만원,대학생,2022. 01. 24. (월) ~ 2022. 02. 12. (토),조회 : 178
4726,속초시 저소득주민장학 (2022년),속초시,장학금,총 7명 선발,장학금지급 : 최대 100만원,대학생,2022. 02. 21. (월) ~ 2022. 03. 04. (금),조회 : 156
4727,파주시 행복장학 (2022년),파주시행복장학회,장학금,총 153명 선발,"장학금지급 : 최대 1,000만원","고등학생, 대학생",2022. 02. 09. (수) ~ 2022. 03. 04. (금),조회 : 379
4728,경상남도 근로자자녀 장학 (2022년),경상남도,장학금,총 45명 선발,장학금지급 : 최대 200만원,대학생,2022. 03. 02. (수) ~ 2022. 03. 31. (목),"조회 : 1,386"
4729,가헌신도재단 이공계 장학,가헌신도재단,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2022. 02. 23. (수) ~ 2022. 03. 10. (목),"조회 : 1,399"
4730,천안저소득가정 청소년 국가기술자격증 교육비 지원,풀뿌리희망재단,기타장학,인원 미정,기타혜택 : 최대 -만원,"고등학생, 기타/일반",2022. 02. 10. (목) ~ 2022. 03. 10. (목),조회 : 340
4731,장흥군 인재육성장학 (2022년),장흥군인재육성장학회,장학금,인원 미정,장학금지급 : 최대 250만원,"중학생, 고등학생, 대학생, 전문대생",2022. 02. 17. (목) ~ 2022. 03. 10. (목),조회 : 284
4732,양구군 양록장학 (2022년),양록장학회,장학금,인원 미정,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2022. 02. 14. (월) ~ 2022. 03. 11. (금),조회 : 323
4733,정선장학회 장학 (2022년),정선장학회,장학금,총 380명 선발,"장학금지급 : 최대 1,000만원","고등학생, 대학생, 전문대생",2022. 02. 21. (월) ~ 2022. 03. 11. (금),조회 : 568
4734,의왕시인재육성재단 디자인 공모전,의왕시인재육성재단,기타장학,인원 미정,기타혜택 : 최대 -만원,"고등학생, 대학생",2022. 03. 07. (월) ~ 2022. 03. 11. (금),조회 : 237
4735,광양시 새마을지도자 자녀 장학 (2022년),광양시새마을회,장학금,인원 미정,장학금지급 : 최대 -만원,"고등학생, 대학생, 전문대생",2022. 03. 02. (수) ~ 2022. 03. 11. (금),조회 : 338
4736,달성군 구지면 장학 (2022년),달성장학재단,장학금,총 14명 선발,장학금지급 : 최대 300만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2022. 02. 04. (금) ~ 2022. 03. 11. (금),조회 : 355
4737,동래장학회 장학 (2022년),동래장학회,장학금,총 40명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생",2022. 02. 28. (월) ~ 2022. 03. 11. (금),조회 : 559
4738,본솔 김종한 장학 (2022년),본솔김종한장학재단,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2022. 02. 21. (월) ~ 2022. 03. 11. (금),"조회 : 2,053"
4739,고양시 청년희망 일자리사업,고양시,"취업연계/산학장학, 기타장학",총 1명 선발,근로비/수당 : 최대 -만원,"청년, 기타/일반",2022. 02. 24. (목) ~ 2022. 03. 03. (목),조회 : 157
4740,군포시 미취업청년 일자리 지원사업,군포시,기타장학,총 46명 선발,근로비/수당 : 최대 -만원,"청년, 기타/일반",2022. 02. 23. (수) ~ 2022. 03. 04. (금),조회 : 135
4741,강서구 지역사회기여 장학 (2022년),강서구장학회,장학금,총 30명 선발,장학금지급 : 최대 120만원,대학생,2022. 02. 09. (수) ~ 2022. 03. 04. (금),조회 : 250
4742,동국대 김주한손용희장학,동국대학교,장학금,총 1명 선발,장학금지급 : 최대 100만원,대학생,2022. 02. 24. (목) ~ 2022. 03. 04. (금),조회 : 277
4743,이화여대 최혁영 장학,최혁영 장학회,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2022. 02. 28. (월) ~ 2022. 03. 04. (금),조회 : 368
4744,신촌강서교회 장학,신촌강서교회,장학금,인원 미정,장학금지급 : 최대 150만원,"대학생, 대학원생",2022. 02. 22. (화) ~ 2022. 03. 06. (일),조회 : 954
4745,핵비확산교육센터 9기 하계 장학,핵비확산교육연구센터,장학금,인원 미정,활동 지원 : 최대 -만원,"대학생, 대학원생",2022. 02. 25. (금) ~ 2022. 03. 06. (일),"조회 : 1,079"
4746,광명형 청년인턴사업,광명시,기타장학,총 23명 선발,근로비/수당 : 최대 -만원,"대학생, 청년, 기타/일반",2022. 03. 04. (금) ~ 2022. 03. 07. (월),조회 : 362
4747,안양청년 어학시험 응시료 지원,안양시,기타장학,"총 1,000명 선발",기타혜택 : 최대 -만원,"청년, 기타/일반",2022. 03. 01. (화) ~ 2022. 03. 07. (월),조회 : 322
4748,동국대 송수경 장학,동국대학교,장학금,총 0명 선발,장학금지급 : 최대 100만원,대학생,2022. 02. 28. (월) ~ 2022. 03. 08. (화),조회 : 13
4749,웰투시 청년창업 지원사업,한베문화교류센터,기타장학,인원 미정,기타혜택 : 최대 360만원,"대학생, 대학원생, 청년, 기타/일반",2022. 02. 24. (목) ~ 2022. 03. 10. (목),조회 : 887
4752,광명시 취업성공 프로그램 참가자 모집,광명시,기타장학,인원 미정,기타혜택 : 최대 30만원,"청년, 기타/일반",2022. 02. 28. (월) ~ 2022. 03. 10. (목),조회 : 147
4753,서초장학재단 장학 (2022년),서초장학재단,장학금,총 40명 선발,장학금지급 : 최대 300만원,"고등학생, 대학생, 전문대생",2022. 03. 07. (월) ~ 2022. 03. 18. (금),"조회 : 2,166"
4754,연천군 청년 일자리 지원사업,연천군,기타장학,인원 미정,근로비/수당 : 최대 -만원,"청년, 기타/일반",2022. 03. 07. (월) ~ 2022. 03. 11. (금),조회 : 133
4755,전북차세대 과학인재 장학,전라북도평생교육장학진흥원,장학금,총 45명 선발,장학금지급 : 최대 120만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2022. 03. 04. (금) ~ 2022. 03. 11. (금),조회 : 573
4756,시흥시인재양성재단 장학,시흥시인재양성재단,장학금,총 362명 선발,장학금지급 : 최대 300만원,"대학생, 전문대생",2022. 02. 21. (월) ~ 2022. 03. 13. (일),조회 : 393
4757,완도군 대학신입생 장학 (2022년),장보고장학회,장학금,총 30명 선발,장학금지급 : 최대 200만원,"대학생, 전문대생",2022. 02. 28. (월) ~ 2022. 03. 14. (월),조회 : 417
4758,울릉군 교육발전장학 (2022년 1학기),(사)울릉군교육발전위원회,장학금,총 00명 선발,"장학금지급 : 최대 3,200만원","초등학생, 중학생, 고등학생, 대학생, 전문대생, 기타/일반",2022. 03. 04. (금) ~ 2022. 03. 14. (월),조회 : 260
4759,청년재단 청년 다다름사업,청년재단,기타장학,총 30명 선발,활동 지원 : 최대 -만원,"청년, 기타/일반",2022. 01. 27. (목) ~ 2022. 03. 15. (화),"조회 : 2,753"
4760,독립유공자 후손 장학 (2022년),민족화해협력범국민협의회,장학금,총 50명 선발,장학금지급 : 최대 600만원,"대학생, 전문대생, 대학원생",2022. 02. 16. (수) ~ 2022. 03. 15. (화),조회 : 526
4761,청송군 인재육성장학 (2022년),청송군인재육성장학회,장학금,총 260명 선발,장학금지급 : 최대 500만원,"고등학생, 대학생",2022. 02. 16. (수) ~ 2022. 03. 15. (화),조회 : 298
4763,청년 마음건강 바우처 지원,대한민국정부,기타장학,"총 27,857명 선발",활동 지원 : 최대 -만원,"청년, 기타/일반",2022. 03. 14. (월) ~ 2022. 12. 31. (토),"조회 : 10,219"
4764,경북대학교 총동창회 장학,경북대학교총동창회효석장학회,장학금,총 25명 선발,장학금지급 : 최대 200만원,대학생,2022. 02. 21. (월) ~ 2022. 03. 15. (화),조회 : 686
4765,장학금 아이디어 장학금,포인캠퍼스,"장학금, 기타장학, 드림장학",총 10명 선발,장학금지급 : 최대 10만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생, 대학원생, 청년, 기타/일반",2022. 03. 04. (금) ~ 2022. 03. 20. (일),"조회 : 9,348"
4766,양주시 청년창업 지속성장 지원사업,양주시,기타장학,총 11명 선발,"기타혜택 : 최대 2,400만원","고등학생, 대학생, 전문대생, 대학원생",2022. 02. 25. (금) ~ 2022. 03. 07. (월),조회 : 83
4767,경기도 재도전 사업자 지원사업,경기도경제과학진흥원,기타장학,총 15명 선발,활동 지원 : 최대 -만원,"청년, 기타/일반",2022. 02. 18. (금) ~ 2022. 03. 10. (목),조회 : 167
4768,남양주시 청년구직자 지원사업,남양주시,기타장학,인원 미정,기타혜택 : 최대 -만원,"청년, 기타/일반",2022. 03. 02. (수) ~ 2022. 03. 11. (금),조회 : 167
4770,하남시 지역주도형 일자리 지원사업,하남시,기타장학,총 7명 선발,기타혜택 : 최대 -만원,대학생,2022. 02. 28. (월) ~ 2022. 03. 14. (월),조회 : 175
4771,하남시 창업청년 일자리 지원사업,하남시,기타장학,총 12명 선발,기타혜택 : 최대 -만원,대학생,2022. 02. 28. (월) ~ 2022. 03. 14. (월),조회 : 350
4772,자양교회 앤더슨 장학금,자양교회,장학금,총 18명 선발,장학금지급 : 최대 300만원,"고등학생, 대학생",2022. 03. 02. (수) ~ 2022. 03. 15. (화),"조회 : 1,035"
4773,경기 기술창업 지원사업,경기도경제과학진흥원,기타장학,총 25명 선발,기타혜택 : 최대 -만원,"청년, 기타/일반",2022. 02. 24. (목) ~ 2022. 03. 16. (수),조회 : 196
4774,국가장학금 (2022년 1학기 2차),한국장학재단,장학금,인원 미정,장학금지급 : 최대 -만원,"대학생, 전문대생",2022. 02. 03. (목) ~ 2022. 03. 16. (수),조회 : 398
4775,저소득 대학생 테블릿 지원,한국장학재단,기타장학,"총 1,250명 선발",기타혜택 : 최대 80만원,"대학생, 전문대생",2022. 03. 07. (월) ~ 2022. 03. 16. (수),"조회 : 3,414"
4777,경기도 대학생 융합기술 창업지원 (2022년),차세대융합기술연구원,기타장학,총 -명 선발,"장학금지급 : 최대 5,000만원","대학생, 대학원생",2022. 02. 28. (월) ~ 2022. 03. 18. (금),조회 : 434
4778,가평군 장학 (2022년),가평군,장학금,총 147명 선발,장학금지급 : 최대 300만원,"중학생, 고등학생, 대학생",2022. 02. 23. (수) ~ 2022. 03. 18. (금),조회 : 159
4779,평택시 장학 (2022년),평택시장학재단,장학금,인원 미정,장학금지급 : 최대 400만원,"대학생, 전문대생",2022. 03. 02. (수) ~ 2022. 03. 18. (금),조회 : 358
4781,시흥시 창업자 마케팅 지원사업,시흥산업진흥원,기타장학,인원 미정,기타혜택 : 최대 -만원,기타/일반,2022. 02. 25. (금) ~ 2022. 03. 18. (금),조회 : 134
4782,안산 행복이음 장학 (2022년),안산인재육성재단,장학금,총 20명 선발,장학금지급 : 최대 50만원,"초등학생, 중학생, 고등학생, 대학생",2022. 03. 14. (월) ~ 2022. 03. 18. (금),조회 : 341
4783,안산 학교밖 청소년 장학 (2022년),안산인재육성재단,장학금,총 10명 선발,장학금지급 : 최대 100만원,기타/일반,2022. 03. 14. (월) ~ 2022. 03. 18. (금),조회 : 174
4784,안산 예체기능 장학 (2022년),안산인재육성재단,장학금,총 40명 선발,장학금지급 : 최대 100만원,"초등학생, 중학생, 고등학생",2022. 03. 14. (월) ~ 2022. 03. 18. (금),조회 : 119
