인덱스,장학금명,재단,장학종류,선발인원,장학혜택,선발대상,신청기간,조회수
1103,서울시 학자금대출 이자지원 (2018년 하반기),서울시,대출지원,인원 미정,대출 지원 : 최대 __만원,"대학생, 전문대생, 대학원생, 기타/일반",2018. 12. 31. (월) ~ 2019. 02. 28. (목),조회 : 617
1241,인천시 인재육성장학 (2019년 상반기),(재)인천인재육성재단,장학금,총 458명 선발,장학금지급 : 최대 2200만원,"고등학생, 대학생, 전문대생",2019. 03. 27. (수) ~ 2019. 04. 19. (금),"조회 : 8,219"
1367,국가장학금 (2019년 2학기),한국장학재단,장학금,인원 미정,장학금지급 : 최대 260만원,"대학생, 전문대생","(1차) 2019. 05. 17. (금) ~ 2019. 06. 13. (목)
(2차) 2019. 08. 20. (화) ~ 2019. 09. 10. (화)","조회 : 2,018"
1413,근로장려금 · 자녀장려금,국세청,기타장학,인원 미정,기타혜택 : 최대 150만원,기타/일반,2019. 05. 01. (수) ~ 2019. 12. 02. (월),"조회 : 17,835"
1418,경기노총 장학문화재단 장학 (2019년),경기도노총장학문화재단,장학금,총 00명 선발,장학금지급 : 최대 300만원,"고등학생, 대학생, 전문대생",2019. 04. 01. (월) ~ 2019. 09. 30. (월),"조회 : 6,143"
1518,원주시 중국 허페이 유학장학 (2019년),원주시,"장학금, 기타장학",인원 미정,연수/연구지원 : 최대 약 2700만원,"중학생, 고등학생, 대학생, 전문대생, 대학원생",2019. 06. 14. (금) ~ 2019. 09. 20. (금),"조회 : 1,033"
1520,한의대 미래인재육성 장학 (2019년),대한한의학회,"장학금, 연수/연구장학",총 14명 선발,장학금지급 : 최대 100만원,"대학생, 대학원생",2019. 06. 05. (수) ~ 2019. 10. 18. (금),"조회 : 1,376"
1557,KF 방한연구 펠로십,한국국제교류재단,"장학금, 연수/연구장학",총 30명 선발,장학금지급 : 최대 300만원,대학원생,2019. 07. 01. (월) ~ 2019. 09. 02. (월),"조회 : 1,667"
1558,KF 한국어 펠로십,한국국제교류재단,"장학금, 연수/연구장학",총 40명 선발,장학금지급 : 최대 1440만원,"대학생, 대학원생",2019. 07. 01. (월) ~ 2019. 09. 02. (월),"조회 : 2,366"
1566,한국문화예술위원회 공연장 대관료 지원,한국문화예술위원회,기타장학,인원 미정,기타혜택 : 최대 1500만원,기타/일반,2019. 07. 22. (월) ~ 2019. 08. 23. (금),조회 : 941
1568,월정김용복 장학 (2019년),용복장학회,장학금,인원 미정,장학금지급 : 최대 -만원,"대학생, 전문대생",2019. 07. 15. (월) ~ 2019. 07. 31. (수),"조회 : 2,245"
1569,서울시 학자금대출 이자지원 (2019년 상반기),서울특별시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생, 기타/일반",2019. 07. 01. (월) ~ 2019. 09. 22. (일),"조회 : 1,353"
1615,한국여성재단 봄빛기금장학,한국여성재단,장학금,인원 미정,장학금지급 : 최대 200만원,"대학생, 전문대생","(1차) 2019. 07. 10. (수) ~ 2019. 08. 09. (금)
(2차) 2019. 08. 28. (수) ~ 2019. 09. 05. (목)","조회 : 4,074"
1621,취업 후 상환 생활비대출 (2019년 2학기),한국장학재단,대출지원,인원 미정,대출 지원 : 최대 150만원,"대학생, 전문대생",2019. 07. 12. (금) ~ 2019. 11. 14. (목),조회 : 724
1622,일반 상환 생활비대출 (2019년 2학기),한국장학재단,대출지원,인원 미정,대출 지원 : 최대 150만원,"대학생, 전문대생, 대학원생",2019. 07. 12. (금) ~ 2019. 11. 14. (목),"조회 : 1,475"
1641,강민성장학재단 장학,강민성장학재단,장학금,인원 미정,장학금지급 : 최대 __만원,"고등학생, 대학생, 전문대생, 대학원생, 기타/일반",2019. 07. 01. (월) ~ 2019. 08. 09. (금),"조회 : 2,614"
1655,한국장학재단 푸른등대장학,한국장학재단,장학금,총 70명 선발,장학금지급 : 최대 150만원,"대학생, 전문대생","(1차) 2019. 07. 26. (금) ~ 2019. 08. 13. (화)
(2차) 2019. 08. 29. (목) ~ 2019. 09. 16. (월)","조회 : 4,411"
1664,숲과나눔 재단 인재양성 장학,숲과나눔,기타장학,인원 미정,연수/연구지원 : 최대 20000만원,대학원생,2019. 08. 21. (수) ~ 2019. 09. 01. (일),"조회 : 3,821"
1666,광양시 백운장학 (2019년),(재)백운장학회,장학금,총 525명 선발,장학금지급 : 최대 250만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생, 대학원생",2019. 08. 01. (목) ~ 2019. 09. 02. (월),"조회 : 1,115"
1677,서울꿈길 장학,서울장학재단,장학금,총 100명 선발,장학금지급 : 최대 150만원,"중학생, 고등학생",2019. 08. 05. (월) ~ 2019. 08. 21. (수),"조회 : 3,122"
1680,소상공인 디딤돌 장학,서울장학재단,장학금,총 100명 선발,장학금지급 : 최대 100만원,"중학생, 고등학생, 대학생, 전문대생",2019. 08. 05. (월) ~ 2019. 08. 30. (금),"조회 : 2,095"
1686,숙명여대 솔트-팬 장학 (2019년 2학기),사단법인 솔트-팬,장학금,총 00명 선발,장학금지급 : 최대 1000만원,"대학생, 대학원생",2019. 08. 03. (토) ~ 2019. 08. 14. (수),조회 : 723
1692,충북인재양성재단 장학,충북인재양성재단,장학금,총 545명 선발,장학금지급 : 최대 200만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 08. 12. (월) ~ 2019. 08. 30. (금),"조회 : 1,402"
1693,은퇴 국가대표 대학원진학 장학 (2019년),국민체육진흥공단,장학금,인원 미정,장학금지급 : 최대 1000만원,대학원생,2019. 08. 01. (목) ~ 2019. 08. 30. (금),조회 : 337
1698,제주 탐나는 인재 모집,제주더큰내일센터,"연수/연구장학, 취업연계/산학장학, 기타장학",총 100명 선발,기타혜택 : 최대 3600만원,기타/일반,2019. 08. 01. (목) ~ 2019. 08. 23. (금),조회 : 843
1699,<청춘마이크> 청년예술가 활동지원(추가공모),지역문화진흥원,기타장학,인원 미정,활동 지원 : 최대 210만원,기타/일반,2019. 08. 06. (화) ~ 2019. 08. 19. (월),조회 : 497
1700,영광군 원전주변지역 장학,영광군,장학금,인원 미정,장학금지급 : 최대 100만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 07. 24. (수) ~ 2019. 08. 23. (금),조회 : 410
1701,강진군민 장학 (2019년 하반기),강진군민장학재단,장학금,총 98명 선발,장학금지급 : 최대 300만원,"중학생, 고등학생, 대학생, 전문대생",2019. 08. 12. (월) ~ 2019. 08. 26. (월),조회 : 545
1704,2019년 하반기 해남군 장학,해남군,장학금,총 172명 선발,장학금지급 : 최대 100만원,"초등학생, 중학생, 고등학생",2019. 08. 09. (금) ~ 2019. 08. 23. (금),조회 : 260
1705,대전 인재육성 청년희망 장학 (하반기),대전인재육성장학재단,장학금,총 120명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2019. 08. 12. (월) ~ 2019. 08. 30. (금),"조회 : 1,177"
1706,광산장학회 장학 (2019년),광산장학회,장학금,총 73명 선발,장학금지급 : 최대 150만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 08. 12. (월) ~ 2019. 08. 30. (금),"조회 : 1,689"
1707,광양시 광영장학 (2019년),(재)광영장학회,장학금,총 20명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2019. 08. 01. (목) ~ 2019. 08. 31. (토),조회 : 361
1708,광주 동구 인재육성장학,광주 동구 인재육성장학회,장학금,총 68명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2019. 08. 05. (월) ~ 2019. 08. 30. (금),조회 : 611
1709,경남 청년구직활동 지원사업,경상남도,"취업연계/산학장학, 기타장학","총 2,404명 선발",활동 지원 : 최대 200만원,기타/일반,2019. 08. 12. (월) ~ 2019. 08. 31. (토),조회 : 973
1710,영동군민장학회 장학 (2019년),영동군민장학회,장학금,총 257명 선발,장학금지급 : 최대 150만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 08. 12. (월) ~ 2019. 09. 02. (월),조회 : 318
1711,수동농협 조합원자녀 장학 (2019년),수동농업협동조합,장학금,총 15명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2019. 08. 01. (목) ~ 2019. 08. 23. (금),조회 : 230
1713,경희대 총동문회 봉사 장학 (2019년),경희대학교총동문회,"장학금, 장학프로그램",총 00명 선발,장학금지급 : 최대 200만원,대학생,2019. 08. 01. (목) ~ 2019. 08. 25. (일),조회 : 460
1714,의성군 성적우수장학,의성군인재육성재단,장학금,총 104명 선발,장학금지급 : 최대 250만원,"중학생, 고등학생, 대학생, 전문대생",2019. 08. 19. (월) ~ 2019. 08. 26. (월),조회 : 280
1715,노엽문화재단 장학 (2019년),노엽문화재단,장학금,인원 미정,장학금지급 : 최대 720만원,대학생,2019. 08. 01. (목) ~ 2019. 08. 30. (금),"조회 : 1,115"
1718,충북인재양성재단 도내대학 장학,충북인재양성재단,장학금,총 62명 선발,장학금지급 : 최대 200만원,"대학생, 전문대생",2019. 08. 12. (월) ~ 2019. 09. 11. (수),조회 : 944
1719,총신대 삼일교회 장학 (2019년 2학기),삼일교회,장학금,총 20명 선발,장학금지급 : 최대 120만원,대학생,2019. 08. 19. (월) ~ 2019. 09. 04. (수),조회 : 567
1720,광주시 빛고을장학(2019년),빛고을장학재단,장학금,총 244명 선발,장학금지급 : 최대 150만원,"중학생, 고등학생, 대학생, 전문대생",2019. 08. 14. (수) ~ 2019. 09. 06. (금),"조회 : 1,763"
1721,포항시장학회 장학 (2019년),포항시장학회,장학금,총 356명 선발,장학금지급 : 최대 200만원,"대학생, 전문대생",2019. 08. 20. (화) ~ 2019. 09. 09. (월),조회 : 824
1722,2019년 양천구 장학,양천구,장학금,인원 미정,장학금지급 : 최대 150만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 08. 19. (월) ~ 2019. 09. 11. (수),조회 : 970
1730,2019년 천안사랑장학,천안사랑장학재단,장학금,총 386명 선발,장학금지급 : 최대 120만원,"고등학생, 대학생, 전문대생",2019. 09. 02. (월) ~ 2019. 09. 10. (화),"조회 : 1,358"
1732,금천미래 장학 (2019년),금천미래장학회,장학금,총 48명 선발,장학금지급 : 최대 180만원,"초등학생, 중학생, 고등학생, 기타/일반",2019. 08. 26. (월) ~ 2019. 08. 30. (금),조회 : 568
1733,국가보훈처 보훈장학(2019년 2학기),국가보훈처,장학금,총 302명 선발,장학금지급 : 최대 115만원,"대학원생, 기타/일반","(1차) 2019. 09. 02. (월) ~ 2019. 09. 11. (수)
(2차) 2019. 10. 14. (월) ~ 2019. 10. 25. (금)","조회 : 1,122"
1734,서대문구 주민소득지원·생활안정기금 융자신청,서대문구,대출지원,인원 미정,대출 지원 : 최대 3000만원,"대학생, 전문대생, 대학원생, 기타/일반",2019. 08. 19. (월) ~ 2019. 08. 30. (금),조회 : 262
1739,국가보훈처 보훈가족장학,국가보훈처,장학금,인원 미정,장학금지급 : 최대 90만원,"대학생, 전문대생",2019. 09. 02. (월) ~ 2019. 09. 11. (수),조회 : 553
1742,울진군 대학생 장학 (2019년 2차),울진군장학재단,장학금,총 190명 선발,장학금지급 : 최대 250만원,"대학생, 전문대생",2019. 09. 02. (월) ~ 2019. 09. 18. (수),조회 : 275
1744,일운재단 희망나눔장학,일운과학기술재단,장학금,총 0명 선발,장학금지급 : 최대 2000만원,대학원생,2019. 08. 26. (월) ~ 2019. 09. 19. (목),"조회 : 2,033"
1751,왕십리2동 장학,왕십리2동 장학회,장학금,총 6명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2019. 08. 26. (월) ~ 2019. 09. 09. (월),조회 : 612
1752,인천 서구 서동이장학 (2019년),서동이장학회,장학금,총 133명 선발,장학금지급 : 최대 500만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 08. 28. (수) ~ 2019. 09. 10. (화),조회 : 492
1753,춘천시 봄내장학 (2019년 하반기),춘천시민장학복지재단,장학금,인원 미정,장학금지급 : 최대 100만원,"중학생, 고등학생, 대학생",2019. 09. 16. (월) ~ 2019. 09. 20. (금),조회 : 701
1777,제주대 자매국수 장학 (2019년),제주대학교,장학금,총 6명 선발,장학금지급 : 최대 100만원,대학생,2019. 09. 01. (일) ~ 2019. 09. 10. (화),조회 : 295
1778,예술 프로젝트 성장 지원사업 (2019년),임팩트스테이션,장학프로그램,인원 미정,활동 지원 : 최대 100만원,기타/일반,2019. 09. 01. (일) ~ 2019. 09. 16. (월),조회 : 529
1779,숭실대장학회 장학 (2019년 2학기),숭실대학교 장학회,장학금,총 40명 선발,장학금지급 : 최대 000만원,대학생,2019. 08. 26. (월) ~ 2019. 09. 16. (월),조회 : 399
1783,서울과기대 유병찬 도일상사 멘토링 장학,서울과학기술대학교발전기금,장학금,총 5명 선발,장학금지급 : 최대 100만원,대학생,2019. 09. 04. (수) ~ 2019. 09. 16. (월),조회 : 403
1784,인천 계양구 인재양성장학,인천광역시계양구인재양성장학재단,장학금,총 30명 선발,장학금지급 : 최대 300만원,"고등학생, 대학생, 전문대생",2019. 09. 02. (월) ~ 2019. 09. 19. (목),조회 : 764
1786,세종시 인재육성장학 (2019년 하반기),세종특별자치시 인재육성평생교육진흥원,장학금,총 302명 선발,장학금지급 : 최대 200만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생, 기타/일반",2019. 08. 21. (수) ~ 2019. 09. 20. (금),조회 : 701
1787,서울 중구인재육성장학 (2019년),중구인재육성장학재단,장학금,총 166명 선발,장학금지급 : 최대 100만원,"초등학생, 중학생, 고등학생",2019. 09. 05. (목) ~ 2019. 09. 20. (금),조회 : 539
1789,지헌장학재단 장학 (2019년 2학기),지헌장학재단,장학금,총 44명 선발,장학금지급 : 최대 400만원,대학생,2019. 09. 02. (월) ~ 2019. 09. 20. (금),"조회 : 1,454"
1790,현대제철 연구장학,현대제철,연수/연구장학,인원 미정,장학금지급 : 최대 5270만원,대학원생,2019. 09. 02. (월) ~ 2019. 09. 23. (월),조회 : 663
1791,현대모비스 연구장학,현대모비스,"장학금, 연수/연구장학, 취업연계/산학장학",인원 미정,"연수/연구지원 : 최대 5,270만원",대학원생,2019. 09. 02. (월) ~ 2019. 09. 23. (월),조회 : 628
1792,가천문화재단 심청효행대상,가천문화재단,"장학금, 기타장학",총 15명 선발,"포상/상금 : 최대 1,000만원","초등학생, 중학생, 고등학생, 대학생, 전문대생, 대학원생",2019. 09. 02. (월) ~ 2019. 09. 25. (수),조회 : 971
1793,경주시장학회 경주사랑 장학 (2019년),경주시장학회,장학금,총 490명 선발,장학금지급 : 최대 200만원,"중학생, 고등학생, 대학생, 전문대생",2019. 09. 10. (화) ~ 2019. 09. 24. (화),조회 : 468
1794,롯데케미칼 산학장학 (2019년 하반기),롯데케미칼,"장학금, 연수/연구장학, 취업연계/산학장학",인원 미정,장학금지급 : 최대 -만원,"대학생, 대학원생",2019. 09. 01. (일) ~ 2019. 09. 25. (수),"조회 : 1,143"
1795,서천군 다자녀 장학 (2019년),서천사랑장학회,장학금,인원 미정,장학금지급 : 최대 100만원,"대학생, 전문대생",2019. 09. 09. (월) ~ 2019. 09. 27. (금),조회 : 328
1796,앨트웰 민초장학 20기,앨트웰 민초장학재단,장학금,인원 미정,기타혜택 : 최대 210만원,대학생,2019. 09. 02. (월) ~ 2019. 09. 30. (월),"조회 : 1,863"
1797,고속도로장학 (2019년),고속도로장학재단,장학금,총 000명 선발,장학금지급 : 최대 500만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생, 기타/일반",2019. 09. 04. (수) ~ 2019. 09. 30. (월),"조회 : 1,154"
1798,한우사랑 장학 (2019년),한우자조금관리위원회,장학금,총 25명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2019. 08. 28. (수) ~ 2019. 09. 30. (월),"조회 : 1,218"
1800,우덕재단 장학 (2019년 2학기),우덕재단,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2019. 09. 11. (수) ~ 2019. 09. 19. (목),조회 : 796
1802,제일하이텍 숭실대 장학,제일하이텍,"장학금, 기타장학",총 5명 선발,장학금지급 : 최대 200만원,대학생,2019. 09. 11. (수) ~ 2019. 09. 20. (금),조회 : 246
1803,은평구민장학 (2019년 하반기),은평구민장학재단,장학금,총 00명 선발,장학금지급 : 최대 200만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 09. 19. (목) ~ 2019. 09. 27. (금),조회 : 819
1804,대전 서구 인재육성장학 (2019년),(재)대전광역시 서구 인재육성재단,장학금,총 25명 선발,장학금지급 : 최대 150만원,"고등학생, 대학생, 전문대생",2019. 09. 09. (월) ~ 2019. 09. 30. (월),조회 : 551
1805,제주대 사랑의열매 장학,제주사회복지공동모금회,장학금,총 25명 선발,장학금지급 : 최대 400만원,대학생,2019. 09. 01. (일) ~ 2019. 09. 30. (월),조회 : 414
1806,경남대 상상응원장학,KT&G 상상univ.,장학금,총 10명 선발,장학금지급 : 최대 100만원,대학생,2019. 09. 04. (수) ~ 2019. 09. 22. (일),조회 : 332
1807,광주광역시 서구 장학 (2019년),(재)광주광역시 서구 장학재단,장학금,총 94명 선발,장학금지급 : 최대 150만원,"고등학생, 대학생, 전문대생",2019. 09. 09. (월) ~ 2019. 09. 30. (월),조회 : 706
1808,kt희망나눔재단 창의혁신 장학 (하반기),kt그룹희망나눔재단,장학금,인원 미정,장학금지급 : 최대 -만원,"대학생, 전문대생",2019. 09. 16. (월) ~ 2019. 09. 23. (월),"조회 : 1,032"
1809,삼양그룹 산학장학 (2019년 하반기),삼양사,취업연계/산학장학,인원 미정,기타혜택 : 최대 70만원,"대학생, 대학원생",2019. 09. 06. (금) ~ 2019. 09. 22. (일),조회 : 719
1810,제일하이텍 감리대 장학,제일하이텍,장학금,총 00명 선발,장학금지급 : 최대 100만원,대학원생,2019. 09. 09. (월) ~ 2019. 09. 24. (화),조회 : 429
1811,북한이탈주민 지원장학 (2019년 하반기),북한이탈주민지원재단,장학금,총 319명 선발,장학금지급 : 최대 200만원,"중학생, 고등학생, 대학생, 전문대생, 대학원생",2019. 09. 05. (목) ~ 2019. 09. 26. (목),조회 : 241
1812,덕성여대 정암재단 장학 (2019년),정암재단,장학금,총 20명 선발,장학금지급 : 최대 100만원,대학생,2019. 09. 16. (월) ~ 2019. 09. 27. (금),조회 : 352
1813,LS전선 산학장학,LS전선,"장학금, 연수/연구장학, 취업연계/산학장학",인원 미정,장학금지급 : 최대 -만원,"대학생, 대학원생",2019. 09. 02. (월) ~ 2019. 09. 30. (월),조회 : 928
1814,한국로타리 장학 (2019년 2학기),한국로타리장학문화재단,장학금,인원 미정,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2019. 08. 01. (목) ~ 2019. 09. 30. (월),"조회 : 1,835"
1815,제물포고 졸업생 등불장학 (2019년),인천중학교 제물포고등학교 총동창회,장학금,총 5명 선발,"장학금지급 : 최대 1,000만원","대학생, 전문대생, 대학원생, 기타/일반",2019. 08. 01. (목) ~ 2019. 09. 30. (월),조회 : 270
1816,제 22회 두을장학,두을장학재단,장학금,총 30명 선발,장학금지급 : 최대 -만원,대학생,2019. 09. 02. (월) ~ 2019. 10. 01. (화),"조회 : 1,383"
1817,금강장학회 장학 (2020년),금강장학회,장학금,총 00명 선발,장학금지급 : 최대 300만원,대학생,2019. 09. 23. (월) ~ 2019. 09. 27. (금),"조회 : 1,023"
1819,무지개디딤돌 멘토모집 (2019년),아이들과미래재단,장학프로그램,총 20명 선발,장학금지급 : 최대 200만원,"대학생, 대학원생",2019. 09. 04. (수) ~ 2019. 09. 27. (금),"조회 : 1,023"
1820,하나은행 하나장학,하나금융나눔재단,장학금,인원 미정,장학금지급 : 최대 100만원,"고등학생, 대학생, 전문대생",2019. 09. 18. (수) ~ 2019. 09. 30. (월),"조회 : 1,470"
1821,고졸 선취업 후학습자 장학 (2019년 2학기),한국장학재단,장학금,인원 미정,장학금지급 : 최대 -만원,"대학생, 전문대생","(1차) 2019. 09. 17. (화) ~ 2019. 09. 27. (금)
(2차) 2019. 10. 07. (월) ~ 2019. 10. 16. (수)
(3차) 2019. 11. 01. (월) ~ 2019. 11. 08. (금)",조회 : 500
1822,중소기업 취업연계 장학 (2019년 2학기),한국장학재단,"장학금, 취업연계/산학장학",인원 미정,장학금지급 : 최대 -만원,"대학생, 전문대생","(1차) 2019. 09. 17. (화) ~ 2019. 09. 27. (금)
(2차) 2019. 10. 07. (월) ~ 2019. 10. 16. (수)
(3차) 2019. 10. 28. (월) ~ 2019. 11. 04. (월)",조회 : 790
1823,문경학사 입사생 선발,문경시장학회,기숙사/주거지원,총 7명 선발,거주 지원 : 최대 -만원,대학생,2019. 09. 20. (금) ~ 2019. 09. 30. (월),조회 : 435
1824,부산 북구장학 (2019년),(재)부산북구장학회,장학금,총 74명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2019. 09. 09. (월) ~ 2019. 10. 04. (금),조회 : 710
1825,당진화력장학회 장학,당진화력장학회,장학금,인원 미정,장학금지급 : 최대 100만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 09. 20. (금) ~ 2019. 10. 04. (금),조회 : 669
1826,목포한국병원 산학장학 (2019년 2학기),목포한국병원,장학금,총 00명 선발,장학금지급 : 최대 500만원,대학생,"(1차) 2019. 09. 09. (월) ~ 2019. 10. 10. (목)
(2차) 2019. 10. 10. (목) ~ 2019. 10. 31. (목)",조회 : 929
1827,충청남도 희망드림 장학,충청남도인재육성재단,"장학금, 대출지원",총 103명 선발,장학금지급 : 최대 150만원,"대학생, 전문대생",2019. 09. 03. (화) ~ 2019. 10. 11. (금),"조회 : 1,093"
1829,대구 달서구 인재육성장학 (2019년 하반기),달서인재육성장학재단,장학금,총 60명 선발,장학금지급 : 최대 230만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 09. 23. (월) ~ 2019. 10. 04. (금),조회 : 447
1830,울산시 인재육성장학 (2019년 하반기),울산인재육성재단,장학금,총 249명 선발,장학금지급 : 최대 150만원,"대학생, 전문대생",2019. 09. 16. (월) ~ 2019. 10. 11. (금),"조회 : 1,027"
1831,대구 수성구 인재육성장학 (2019년),수성미래교육재단,장학금,총 79명 선발,장학금지급 : 최대 200만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 10. 02. (수) ~ 2019. 10. 16. (수),조회 : 854
1832,국립대학 육성 대학원 장학,교육부,장학금,총 27명 선발,장학금지급 : 최대 50만원,대학원생,2019. 09. 17. (화) ~ 2019. 10. 08. (화),조회 : 923
1834,인천연수구 인재육성장학 (2019년 2학기),연수인재육성재단,장학금,총 101명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2019. 09. 04. (수) ~ 2019. 09. 30. (월),조회 : 292
1835,예스24 외국인 대학원 장학 (2019년),한세예스24문화재단,장학금,총 0명 선발,장학금지급 : 최대 200만원,대학원생,2019. 09. 23. (월) ~ 2019. 10. 02. (수),조회 : 381
1836,충주시 장애인 장학 (2019년),충주시,장학금,총 10명 선발,장학금지급 : 최대 150만원,"대학생, 전문대생",2019. 09. 18. (수) ~ 2019. 10. 10. (목),조회 : 302
1837,옹진군 인재육성장학 (2019년 2학기),옹진군인재육성재단,장학금,총 00명 선발,장학금지급 : 최대 500만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2019. 09. 30. (월) ~ 2019. 10. 11. (금),조회 : 329
1838,송화재단 장학,송화재단,장학금,인원 미정,장학금지급 : 최대 200만원,대학생,2019. 09. 24. (화) ~ 2019. 10. 15. (화),"조회 : 2,464"
1839,창업지원형 기숙사 입주생 모집,한국장학재단,"기숙사/주거지원, 취업연계/산학장학",총 209명 선발,거주 지원 : 최대 -만원,"대학생, 전문대생, 대학원생",2019. 09. 23. (월) ~ 2019. 10. 16. (수),조회 : 390
1840,소방안전장학 (2019년),한국소방안전원,장학금,총 200명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2019. 10. 01. (화) ~ 2019. 10. 16. (수),"조회 : 1,140"
1841,충남뿌리내림 장학 (2019년 하반기),충청남도인재육성재단,장학금,총 20명 선발,장학금지급 : 최대 300만원,"대학생, 전문대생",2019. 09. 20. (금) ~ 2019. 10. 18. (금),조회 : 990
1842,인천인재육성 하반기 장학선발,(재)인천인재육성재단,장학금,총 498명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2019. 09. 26. (목) ~ 2019. 10. 18. (금),"조회 : 2,665"
1843,다빈치 프로젝트 교육참가자 모집,한국콘텐츠진흥원,기타장학,총 40명 선발,활동 지원 : 최대 1000만원,기타/일반,2019. 09. 24. (화) ~ 2019. 10. 07. (월),조회 : 988
1844,서울 마포구 인재육성 장학 (2019년 하반기),마포인재육성장학재단,장학금,총 104명 선발,장학금지급 : 최대 300만원,"중학생, 고등학생, 대학생, 전문대생",2019. 09. 30. (월) ~ 2019. 10. 08. (화),조회 : 593
1845,의왕시 소상공인자녀 장학,의왕시인재육성재단,장학금,총 60명 선발,장학금지급 : 최대 50만원,"고등학생, 대학생, 전문대생",2019. 09. 30. (월) ~ 2019. 10. 11. (금),조회 : 292
1848,안산 지역대학 진학생 장학 (2019년 하반기),안산인재육성재단,장학금,총 35명 선발,장학금지급 : 최대 200만원,"대학생, 전문대생",2019. 10. 01. (화) ~ 2019. 10. 21. (월),조회 : 501
1849,선문대 교직원 후원장학 (2019년),선문대학교,장학금,총 17명 선발,장학금지급 : 최대 50만원,대학생,2019. 10. 01. (화) ~ 2019. 10. 20. (일),조회 : 313
1852,제25기 미래에셋 해외 교환장학,미래에셋박현주재단,"장학금, 연수/연구장학",총 350명 선발,장학금지급 : 최대 700만원,대학생,2019. 10. 14. (월) ~ 2019. 10. 21. (월),조회 : 901
1853,남촌재단 장학,남촌재단,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2019. 10. 04. (금) ~ 2019. 10. 10. (목),조회 : 658
1854,상지대 학생행복장학,상지학원발전기금재단,장학금,인원 미정,장학금지급 : 최대 50만원,대학생,2019. 10. 07. (월) ~ 2019. 10. 11. (금),조회 : 220
1855,금샘문화재단 장학 (2019년),금샘문화재단,장학금,인원 미정,장학금지급 : 최대 200만원,대학생,2019. 10. 04. (금) ~ 2019. 10. 17. (목),"조회 : 1,401"
1856,서강대 서강예수회 장학 (2019년),서강예수회,장학금,총 8명 선발,장학금지급 : 최대 125만원,대학생,2019. 10. 04. (금) ~ 2019. 10. 17. (목),조회 : 270
1857,선원가족 장학 (2019년 2학기),한국선원복지고용센터,장학금,총 127명 선발,장학금지급 : 최대 300만원,"고등학생, 대학생, 전문대생",2019. 09. 01. (일) ~ 2019. 10. 11. (금),조회 : 208
1858,대전드림·일석이조 국가근로장학 (2019년 2학기),한국장학재단,"취업연계/산학장학, 근로장학",총 143명 선발,근로비/수당 : 최대 336만원,대학생,2019. 10. 07. (월) ~ 2019. 10. 22. (화),조회 : 988
1859,양천구 공항소음지역 장학 (2019년),양천구,장학금,총 177명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2019. 10. 14. (월) ~ 2019. 10. 25. (금),조회 : 614
1860,장수군 애향장학 (2019년 2학기),장수군애향교육진흥재단,장학금,인원 미정,장학금지급 : 최대 400만원,"대학생, 전문대생",2019. 10. 07. (월) ~ 2019. 10. 25. (금),조회 : 319
1861,용인시 학자금대출 이자지원 (2019년),용인시인재육성재단,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2019. 09. 02. (월) ~ 2019. 10. 25. (금),조회 : 284
1862,대구시 학자금대출 이자지원 (2019년),대구광역시,대출지원,인원 미정,대출 지원 : 최대 -만원,"대학생, 전문대생",2019. 09. 09. (월) ~ 2019. 10. 25. (금),조회 : 276
