idx,scholarship_name,foundation,scholarship_type,recruit,benefit,target,period,memo
5031,용산구 꿈나무 장학 (2022년),용산구,장학금,총 383명 선발,장학금지급 : 최대 50만원,"초등학생, 중학생, 고등학생",2022. 04. 06. (수) ~ 2022. 04. 22. (금),용산구에서 용산구 구민의 복지증진과 지역인재 양성을 위해 지원하는 장학금입니다.
5032,앙평군 청년통장,양평군,기타장학,총 50명 선발,기타혜택 : 최대 -만원,"청년, 기타/일반",2022. 04. 04. (월) ~ 2022. 04. 22. (금),양평군에서 양평에 거주하는 청년들을 대상으로 저축을 지원하는 사업입니다.
5033,푸른등대 삼성기부장학 (2022년),한국장학재단,장학금,인원 미정,장학금지급 : 최대 300만원,"대학생, 전문대생",2022. 04. 11. (월) ~ 2022. 04. 22. (금),한국장학재단에서 대학생 주거비용 부담완화를 위해 사회적 배려 계층 가정 대학생들의 생활비를 지원하는 장학금입니다.
5034,파주시 청년공간 창업특강 모집,파주시,기타장학,총 16명 선발,기타혜택 : 최대 -만원,"청년, 기타/일반",2022. 04. 04. (월) ~ 2022. 04. 15. (금),파주시에서 파주시 청년들을 대상으로 창업 특강을 지원하는 사업입니다.
5035,전남 새천년 으뜸인재 장학,전남인재평생교육진흥원,장학금,인원 미정,장학금지급 : 최대 300만원,"중학생, 고등학생, 대학생, 전문대생",2022. 04. 05. (화) ~ 2022. 04. 15. (금),전남인재평생교육진흥원에서 학생의 재능계발을 위해 재능계발비를 지원하는 사업입니다.
5036,서강대 소명장학금,서강대학교,장학금,총 10명 선발,장학금지급 : 최대 200만원,대학생,2022. 04. 06. (수) ~ 2022. 04. 18. (월),서강대학교에서 서강대학교 경영학부 재학생 10명에게 한 학기 200만원을 지급하는 장학금입니다.
5037,서강대 삼정KPMG 동문 장학금,서강대학교,장학금,총 5명 선발,장학금지급 : 최대 200만원,대학생,2022. 04. 08. (금) ~ 2022. 04. 18. (월),서강대학교에서 서강대학교 학생들을 위해 삼정KPMG 재직 동문들이 기부한 장학금을 지원하는 사업입니다.
5038,삼척시도계장학재단 장학,삼척시도계장학재단,장학금,총 50명 선발,장학금지급 : 최대 100만원,"고등학생, 대학생, 전문대생",2022. 04. 11. (월) ~ 2022. 04. 21. (목),삼척시도계장학재단에서 삼척시 도계읍에 거주하는 학생 50명을 대상으로 최대 100만원을 지급하는 장학금입니다.
5039,안양시 사회초년생 작은방 입주자 모집,안양시,기숙사/주거지원,총 3명 선발,거주 지원 : 최대 -만원,"청년, 기타/일반",2022. 03. 25. (금) ~ 2022. 04. 22. (금),안양시에서 주거에 어려움을 겪고 있는 저소득 청년들(여성)에게 주거공간을 제공하는 사업입니다.
5040,안성시 소상공인 경영환경 개선사업,한국생산성본부,기타장학,총 -명 선발,기타혜택 : 최대 300만원,기타/일반,2022. 04. 18. (월) ~ 2022. 04. 22. (금),한국생산성본부에서 안성시내 소상공인의 지속경영 및 사업 경쟁력을 강화하고자 시행하는 사업입니다.
5041,수원시 집수리 지원사업,수원도시재단,기타장학,총 -명 선발,기타혜택 : 최대 500만원,기타/일반,2022. 04. 18. (월) ~ 2022. 04. 22. (금),수원도시재단에서 주거취약계층의 열악한 주거생활환경을 개선·지원해 주거취약계층의 주거생활 만족도 및 삶의 질 향상에 기여하고자 지원하는 사업입니다.
5042,인천 계양구 인재양성장학 (2022년 상반기),인천광역시계양구인재양성장학재단,장학금,인원 미정,장학금지급 : 최대 300만원,"대학생, 전문대생",2022. 04. 18. (월) ~ 2022. 04. 22. (금),인천광역시계양구인재양성장학재단에서 인천시 계양구 출신의 다양한 분야의 우수한 청소년들에게 장학금을 지급해 미래를 이끌어 나갈 인재를 양성하고자 지원하는 장학금입니다.
5043,개발 테스트 장학금,드림스폰,장학금,총 6명 선발,장학금지급 : 최대 900만원,대학생,2022. 04. 13. (수) ~ 2022. 04. 15. (금),개발 테스트 장학금 비노출
