idx,scholarship_name,foundation,scholarship_type,recruit,benefit,target,period,memo
2000,2020년 포스코비전장학,포스코청암재단,장학금,총 00명 선발,장학금지급 : 최대 1440만원,"고등학생, 대학생, 기타/일반",2020. 01. 06. (월) ~ 2020. 01. 31. (금),어려운 환경에서 올바른 품성을 가지고 학업에 정진하는 청소년들을 지원하고자 제철소 인근지역 저소득층 가정 자녀에게 장학금을 지급하는 포스코청암재단의 장학사업입니다.
2001,드림스폰 커피 장학,드림스폰,,인원 미정,,,2016. 06. 15. (수) ~ 2016. 06. 21. (화),
2002,서원대 총동문회 장학 (2019년),서원대학교 총동문회,장학금,총 0명 선발,장학금지급 : 최대 100만원,대학생,2019. 11. 20. (수) ~ 2019. 11. 27. (수),서원대학교 총동문회에서 총동문회비를 납부한 서원대 재학생을 지원하는 장학입니다.
2003,예술인 전세자금대출 (2019년),한국예술인복지재단,대출지원,인원 미정,대출 지원 : 최대 -만원,기타/일반,2019. 11. 18. (월) ~ 2019. 11. 28. (목),한국예술인복지재단이 진행하는 예술인생활안정자금(융자) 전세자금대출 사업입니다.
2004,KRX DREAM 대학생 장학 (2020년),KRX 국민행복재단,장학금,총 40명 선발,장학금지급 : 최대 600만원,"대학생, 전문대생",2019. 11. 01. (금) ~ 2019. 11. 29. (금),KRX 국민행복재단에서 서울 및 부산 소재 대학에 재학 중인 학생을 지원하는 장학입니다.
2005,자격증 장학,드림스폰,,인원 미정,,,2016. 01. 05. (화) ~ 2016. 01. 05. (화),
2006,나의 미래 설계장학,드림스폰,,인원 미정,,,2017. 06. 13. (화) ~ 2017. 07. 07. (금),
2007,우리 모두 같이 하하!호호!,드림스폰,,인원 미정,,,2016. 12. 12. (월) ~ 2016. 12. 12. (월),
2008,뜨거운 6월은 HOT6월,드림스폰,,인원 미정,,,2017. 06. 05. (월) ~ 2017. 06. 09. (금),
2009,50만원 계획 장학,드림스폰,,인원 미정,,,2017. 05. 17. (수) ~ 2017. 05. 27. (토),
2010,국가근로장학 (2020년 1학기),한국장학재단,근로장학,인원 미정,근로비/수당 : 최대 -만원,"대학생, 전문대생","(1차) 2019. 11. 19. (화) ~ 2019. 12. 17. (화)
(2차) 2020. 02. 03. (월) ~ 2020. 03. 23. (월)",한국장학재단에서 시행하는 안정적인 학업여건 조성과 취업역량 제고를 위한 장학금입니다.
2011,제주지역대학 응원장학,KT&G,장학금,총 28명 선발,장학금지급 : 최대 60만원,"대학생, 전문대생",2019. 11. 25. (월) ~ 2019. 12. 18. (수),소소한 실천이 사회를 변화시키는 원동력이 될 수 있음을 전달하고자 제주도 지역 4개 대학을 대상으로 KT&G 제주본부와 제주관광대가 함께 실시하는 장학사업입니다.
2012,강민성장학재단 장학 (2019년),강민성장학재단,장학금,총 00명 선발,장학금지급 : 최대 -만원,"고등학생, 대학생, 전문대생, 대학원생, 기타/일반",2019. 11. 06. (수) ~ 2019. 12. 27. (금),학업에 대한 의지는 있으나 경제적 여건으로 어려움을 겪는 수험생들을 지원하기 위해 장학금을 지급하는 강민성장학재단의 장학사업입니다.
2013,장애부모 자녀 교육비 지원,일주학술문화재단,장학금,총 35명 선발,장학금지급 : 최대 200만원,초등학생,2019. 11. 13. (수) ~ 2019. 12. 27. (금),"장애부모를 둔 아동의 건강한 성장을 위하여 교육비를 지원하는 사업으로, 푸르메재단과 태광그룹 일주학술문화재단이 함께 실시합니다."
2014,장애어린이 형제 교육비 지원,일주학술문화재단,장학금,총 40명 선발,장학금지급 : 최대 200만원,"중학생, 고등학생",2019. 11. 13. (수) ~ 2019. 12. 27. (금),"일주학술문화재단과 푸르메재단이 함께하는 장학사업으로, 장애어린이를 형제로 둔 비장애형제·자매의 건강한 성장을 위해 교육비를 지원합니다."
2015,KC 미래 이공계 장학,KC미래장학재단,장학금,인원 미정,장학금지급 : 최대 500만원,"대학생, 전문대생",2019. 11. 20. (수) ~ 2020. 01. 10. (금),우수 이공계 학생들이 안정적으로 학업을 유지하여 핵심인재로 성장할 수 있도록 장학금을 지급하는 재단법인 KC미래장학재단의 장학사업입니다.
2016,경희대 이수병 장학 (2020년),이수병장학회,장학금,총 5명 선발,장학금지급 : 최대 200만원,대학생,2019. 12. 16. (월) ~ 2020. 01. 15. (수),"사월혁명, 민족통일운동, 민주변혁운동 지도자 이수병선생의 뜻을 기리고, 후학들에게 이를 알리기 위해 실시하는 이수병장학회의 장학사업입니다."
2017,정읍시 다자녀 고등학생 장학,정읍시,장학금,인원 미정,장학금지급 : 최대 -만원,고등학생,2019. 11. 27. (수) ~ 2019. 12. 02. (월),정읍시에서 다자녀 고등학교 재학생의 수업료를 지원하는 장학금입니다.
2018,산청우정학사 입사생 선발 (2020년 1학기),산청군향토장학회,기숙사/주거지원,총 165명 선발,거주 지원 : 최대 -만원,"중학생, 고등학생",2019. 12. 09. (월) ~ 2019. 12. 13. (금),산청군향토장학회에서 관내 중학생과 고등학생을 대상으로 산청우정학사 입사생 선발을 진행합니다.
2019,금천예술공장 입주작가 모집,서울문화재단,기숙사/주거지원,총 80명 선발,거주 지원 : 최대 150만원,기타/일반,2019. 11. 19. (화) ~ 2019. 12. 03. (화),서울문화재단의 지원으로 개인 작업실을 소유하지 않은 예술가와 단체에게 금천예술공장 레지던시 프로그램을 제공합니다.
2020,수원문화재단 행궁길갤러리 대관,수원문화재단,기타장학,총 -명 선발,기타혜택 : 최대 -만원,기타/일반,2019. 11. 15. (금) ~ 2019. 12. 06. (금),수원문화재단에서 수원에서 활동하는 문화예술인 및 단체들에게 전시공간을 제공하는 사업입니다.
2021,한국수자원학회 석박사 장학,한국수자원학회,장학금,총 0명 선발,장학금지급 : 최대 100만원,대학원생,2019. 11. 20. (수) ~ 2019. 12. 13. (금),한국 수자원의 미래를 이끌어갈 인재를 양성하기 위해 한국수자원학회에서 실시하는 장학사업입니다.
2022,인문100년 장학(일시지원),한국장학재단,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2019. 11. 28. (목) ~ 2019. 12. 06. (금),"한국장학재단에서 인문사회계열 3,4학년 대학 재학생에게 등록금 전액을 지원하는 장학금입니다."
2023,제주대학교 효성장학 (2019년 2학기),제주대학교,장학금,총 5명 선발,장학금지급 : 최대 200만원,대학생,2019. 11. 27. (수) ~ 2019. 12. 02. (월),HVD실증센터가 설치된 제주 행원리 학생들의 발전기금으로 조성된 장학금
2024,솔베이 대학원 장학,SOLVAY,장학금,인원 미정,"장학금지급 : 최대 4,800만원",대학원생,2019. 11. 27. (수) ~ 2019. 12. 06. (금),"솔베이에서 이공계열, 약학계열, 사회계열 대학원생에게 최대 4,800만원을 지원하는 장학금입니다."
2025,삼성드림클래스 (2020년 1학기),삼성 드림클래스,"장학금, 장학프로그램, 근로장학",인원 미정,"장학금지급 : 최대 -만원
근로비/수당 : 최대 -만원","대학생, 전문대생","(1차) 2019. 11. 29. (금) ~ 2019. 12. 12. (목)
(2차) 2019. 12. 24. (화) ~ 2020. 01. 01. (수)",교육 여건이 부족한 중학생들에게 꿈과 희망을 심어 주고 학업의지를 고취시키고자하는 방과후 주중·주말교실 프로그램에 대학생 멘토를 모집하고 있습니다.
2026,대학원생지원장학 (2019년),한국장학재단,장학금,인원 미정,장학금지급 : 최대 -만원,대학원생,2019. 11. 22. (금) ~ 2019. 12. 06. (금),"한국장학재단에서 인문예술, 예체능 전공의 저소득층, 미취업자 대학원생에게 최대 등록금 전액을 지원하는 장학금입니다."
2027,SPC 행복한 장학,SPC행복한재단,장학금,인원 미정,장학금지급 : 최대 -만원,"대학생, 전문대생",2019. 11. 29. (금) ~ 2019. 12. 09. (월),SPC그룹 직가맹점에서 근무하고 있는 대학생 아르바이트 직원들이 행복하게 일하고 공부할 수 있도록 수업료 50%를 지원하는 장학금입니다.
2028,대학생 중국문화탐방,강원대학교 공자학원,연수/연구장학,인원 미정,연수/연구지원 : 최대 200만원,대학생,2019. 12. 09. (월) ~ 2019. 12. 11. (수),중국 탐방을 통해 PPT 계획서 작성과 실제 탐방 체험으로 글로벌 감각을 익힐 수 있는 기회를 제공하고자 강원대학교 공자학원에서 실시하는 장학사업입니다.
2029,대한건설협회 서울특별시회 장학,대한건설협회 서울특별시회,장학금,총 52명 선발,장학금지급 : 최대 300만원,대학생,2019. 11. 27. (수) ~ 2019. 12. 13. (금),대한건설협회 서울특별시회에서 건설관련학과를 전공하고 있는 대학생에게 최대 300만원을 지원하는 장학금입니다.
2030,광혜원면장학회 장학,광혜원면장학회,장학금,총 16명 선발,장학금지급 : 최대 300만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생","(1차) 2019. 12. 01. (일) ~ 2019. 12. 15. (일)
(2차) 2020. 02. 10. (월) ~ 2020. 02. 20. (목)",지역 우수인재 양성을 위해 광혜원면장학회가 실시하는 장학사업입니다.
2031,대학·대학원생 OK생활장학 (2020년 1학기),OK배정장학재단,장학금,인원 미정,"장학금지급 : 최대 8,000만원","대학생, 대학원생",2019. 11. 25. (월) ~ 2019. 12. 20. (금),OK 배·정장학재단에서 미래의 글로벌 리더를 꿈꾸는 대학생 및 대학원생을 응원하는 장학금입니다.
2032,평창군 향토학사 입사생 선발,평창군,기숙사/주거지원,총 20명 선발,거주 지원 : 최대 -만원,"대학생, 전문대생",2019. 11. 25. (월) ~ 2019. 12. 24. (화),지역사회 발전과 향토인재 육성을 위해 평창군에서 출연하여 강원대학교 내에 건립한 향토학사(기숙사)의 입사생 모집공고입니다.
2033,남해학숙 입사생 모집 (2020년),남해군,기숙사/주거지원,총 10명 선발,거주 지원 : 최대 -만원,대학생,2019. 11. 25. (월) ~ 2019. 12. 27. (금),수도권 소재 대학교에 재학중인 남해군 출신 대학생들이 기숙 할 수 있는 서울 마곡역 인근의 공공기숙사입니다.
2034,창업지원형 기숙사 입주생 모집 (2019년),한국장학재단,기숙사/주거지원,총 127명 선발,"거주 지원 : 최대 -만원
활동 지원 : 최대 -만원","대학생, 전문대생, 대학원생",2019. 11. 28. (목) ~ 2019. 12. 24. (화),"대학생들이 시간, 공간에 구애받지 않고 창업에 전념할 수 있는 양질의 주거환경을 무상으로 지원하기 위해 실시하는 한국장학재단의 주거지원 장학사업입니다."
2035,토니모리 희망열매 장학,토니모리,장학금,총 20명 선발,장학금지급 : 최대 500만원,고등학생,2019. 12. 02. (월) ~ 2019. 12. 31. (화),토리모리에서 2020년도 대학 진학예정이나 어려운 환경으로 대학 등록금 지원이 필요한 예비 대학생을 응원하는 장학금입니다.
2036,포남새마을금고 장학,포남새마을금고,장학금,총 20명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2019. 12. 15. (일) ~ 2019. 12. 31. (화),포남새마을금고에서 회원자녀를 대상으로 장학금을 지급하는 장학사업입니다.
2037,의생명과학 국내대학원 장학 (2019년),아산사회복지재단,장학금,총 20명 선발,"장학금지급 : 최대 8,000만원",대학원생,2019. 12. 02. (월) ~ 2019. 12. 31. (화),"아산사회복지재단에서 의생명과학 분야를 연구하는 국내 대학원생에게 최대 8,000만원을 지원하는 장학금입니다."
2038,월정김용복 장학 (2020년 상반기),용복장학회,장학금,인원 미정,장학금지급 : 최대 -만원,"대학생, 전문대생",2019. 12. 01. (일) ~ 2020. 01. 10. (금),어려운 유년기를 보낸 월정 김용복 선생의 뜻을 따라 실시되는 용복장학회의 대학생 지원 장학금
2039,강원대 향토학사 입사생 모집,태백시,기숙사/주거지원,총 30명 선발,거주 지원 : 최대 -만원,"대학생, 전문대생, 대학원생",2019. 11. 22. (금) ~ 2020. 01. 02. (목),태백시에서 지역인재 육성을 위하여 출연한 기금으로 강원대학교내에 설립한 기숙사인 향토학사의 입사자 공개모집입니다.
2040,DB 장학생 봉사단 동하리 6기,DB김준기문화재단,"장학금, 장학프로그램",인원 미정,"장학금지급 : 최대 -만원
기타혜택 : 최대 -만원",대학생,2019. 12. 09. (월) ~ 2020. 01. 07. (화),DB김준기문화재단에서 우리 사회를 이끌어갈 창의적이고 실력 있는 인재를 양성하기 위해 대학생들을 지원하는 장학금입니다.
2041,장애어린이 부모 심리상담치료 지원,하나금융나눔재단,기타장학,총 15명 선발,기타혜택 : 최대 100만원,기타/일반,2019. 12. 02. (월) ~ 2019. 12. 20. (금),만 18세 미만의 장애어린이·청소년을 자녀로 둔 부모에게 아이들을 더 잘 키울 수 있도록 심리 및 상담치료의 기회를 제공하는 푸르메재단과 하나금융나눔재단의 지원사업입니다.
2042,장애어린이 형제 예체능 지원,일주학술문화재단,장학금,총 20명 선발,장학금지급 : 최대 200만원,"중학생, 고등학생",2019. 11. 13. (수) ~ 2019. 12. 27. (금),장애어린이를 형제로 둔 비장애형제·자매의 건강한 성장을 위하여 장학금을 지급하는 푸르메재단과 태광그룹 일주학술문화재단의 예체능 교육비 지원사업입니다.
2043,한성 노벨 영·수재 장학,한성 손재한 장학회,장학금,총 200명 선발,장학금지급 : 최대 1000만원,고등학생,2019. 12. 20. (금) ~ 2019. 12. 27. (금),대한민국의 과학 기술 발전과 미래를 책임질 한성 노벨 영·수재를 발굴하기 위해 장학금을 지급하는 한성손재한장학회의 장학사업입니다.
2044,과학기술 연구자 장학 (2019년),동진장학연구재단,연수/연구장학,총 5명 선발,연수/연구지원 : 최대 3000만원,"대학원생, 기타/일반",2019. 12. 04. (수) ~ 2019. 12. 11. (수),우리나라 과학기술의 발전을 위해 연구자들에게 연구비를 지원하는 동진장학연구재단의 장학사업입니다.
2045,장애어린이 재활치료비 지원,하나금융나눔재단,기타장학,총 25명 선발,기타혜택 : 최대 200만원,기타/일반,2019. 12. 02. (월) ~ 2019. 12. 20. (금),재활치료비 지원이 필요한 만 18세 미만 장애인을 위해 푸르메재단과 하나금융나눔재단에서 치료비를 지원하는 사업입니다.
2046,MBK 대학입학 장학 (2020년도 13기),MBK장학재단,장학금,인원 미정,"장학금지급 : 최대 -만원
기타혜택 : 최대 2680만원",대학생,2019. 12. 16. (월) ~ 2019. 12. 26. (목),MBK장학재단에서 2020년도 대학 입학예정자의 등록금 전액 등을 졸업시까지 지원하는 장학입니다.
2047,대학생 연합기숙사 수시모집 (2019년 12월),한국장학재단,기숙사/주거지원,인원 미정,거주 지원 : 최대 -만원,"대학생, 전문대생, 대학원생",2019. 12. 09. (월) ~ 2019. 12. 16. (월),"교육부가 무상으로 부지를 제공하고, 전국은행연합회에서 326억 원의 건축비용을 기부하여 민·관의 협력으로 건립 된 연합생활관을 대학생들에게 제공하는 주거지원 사업입니다."
2048,대학생 연합기숙사 단기모집 (2019년 동계방학 1차),한국장학재단,기숙사/주거지원,인원 미정,거주 지원 : 최대 -만원,"대학생, 전문대생, 대학원생",2019. 12. 09. (월) ~ 2019. 12. 16. (월),"교육부가 무상으로 부지를 제공하고, 전국은행연합회에서 326억 원의 건축비용을 기부하여 민·관의 협력으로 건립 된 연합생활관을 대학생들에게 제공하는 주거지원 사업입니다."
2049,OCI 미술관 입주작가 모집,OCI미술관,기타장학,인원 미정,활동 지원 : 최대 -만원,기타/일반,2019. 12. 10. (화) ~ 2019. 12. 18. (수),국내 시각 예술작가들에게 창작스튜디오를 임대해주는 OCI미술관의 지원사업입니다.
2050,원모평애장학원 멘토링 장학,HJ세계평화재단 원모평애장학원,"장학금, 장학프로그램",총 41명 선발,장학금지급 : 최대 400만원,"대학생, 전문대생",2019. 12. 04. (수) ~ 2019. 12. 18. (수),전국의 멘티들에게 공부에 대한 자신감을 심어주고 멘토들도 함께 성장할 기회를 제공하는 멘토링 프로그램입니다.
2051,삼성증권 대학생 봉사 장학 (2020년),삼성증권,"장학금, 장학프로그램",인원 미정,"장학금지급 : 최대 150만원
기타혜택 : 최대 -만원",대학생,2019. 12. 02. (월) ~ 2019. 12. 27. (금),삼성증권에서 사회복지기관 및 유관시설 아동을 대상으로 경제교육을 진행하는 대학생 봉사단입니다.
2052,아르코 문학창작 기금지원,한국문화예술위원회,기타장학,인원 미정,활동 지원 : 최대 1000만원,기타/일반,2019. 12. 02. (월) ~ 2019. 12. 20. (금),우리 문학의 새로운 성과 창출에 기여하기 위해 문학적 역량이 뛰어난 우수 작가의 집필 활동 및 작품집 발간 등 창작활동에 대한 전 과정을 지원하는 한국문화예술위원회의 지원사업입니다.
2053,천안시 저소득가정 대학 첫 등록금 지원 : 버팀목장학 (2020년),풀뿌리희망재단,장학금,총 10명 선발,장학금지급 : 최대 100만원,"고등학생, 기타/일반",2019. 12. 16. (월) ~ 2020. 01. 10. (금),경제적으로 어려운 환경에 처해있는 천안시 학생들에게 등록금 부담으로 인하여 학업을 포기하거나 기회조차 가질 수 없는 상황이 생기지 않도록 하기 위한 풀뿌리희망재단의 장학금
2054,장애어린이 보조기구 지원,푸르메재단,기타장학,총 80명 선발,기타혜택 : 최대 -만원,"초등학생, 중학생, 고등학생, 기타/일반",2019. 12. 02. (월) ~ 2020. 01. 10. (금),장애어린이 및 청소년의 '건강한 이동' 을 지원하는 보조기구 지원 사업입니다.
2055,소망교회 소망장학,소망교회,장학금,총 00명 선발,장학금지급 : 최대 400만원,"대학생, 대학원생",2019. 12. 02. (월) ~ 2020. 01. 03. (금),세상에 소망을 주는 인물을 육성하기 위해 장학금을 지원하는 소망교회의 장학사업입니다.
2056,부산·울산·경남 협성장학,협성문화재단,장학금,총 20명 선발,"장학금지급 : 최대 000만원
기타혜택 : 최대 50만원",대학생,2019. 12. 23. (월) ~ 2020. 01. 13. (월),부산·울산·경남 지역 출신 대학생에게 장학금을 지원하는 협성문화재단의 장학사업입니다.
2057,건설근로자 자녀 협성장학,협성문화재단,장학금,총 20명 선발,"장학금지급 : 최대 000만원
기타혜택 : 최대 50만원",대학생,2019. 12. 23. (월) ~ 2020. 01. 13. (월),건설근로자의 대학생 자녀에게 장학금을 지원하는 협성문화재단의 장학사업입니다.
2058,한국외대 부산동문회 장학,한국외국어대학교 부산지역 동문회,장학금,총 5명 선발,장학금지급 : 최대 200만원,대학생,2019. 12. 05. (목) ~ 2019. 12. 12. (목),연고를 부산에 둔 후배에게 장학금을 지원하는 한국외대 부산지역동문회의 장학사업입니다.
2059,전자전기·신소재 해동장학,해동과학문화재단,장학금,총 0명 선발,장학금지급 : 최대 1000만원,대학생,2019. 12. 09. (월) ~ 2019. 12. 13. (금),"저소득층 전자전기공학, 화학신소재공학 학생을 선발해 장학금을 지원하는 해동과학문화재단의 장학사업입니다."
2060,서울문화재단 서울예술지원,서울문화재단,기타장학,인원 미정,"활동 지원 : 최대 6,600만원",기타/일반,2019. 11. 26. (화) ~ 2019. 12. 17. (화),서울문화재단에서 시행하는 예술인들의 창작활동과 예술생태계 구축을 지원하는 사업입니다.
2061,광명시 인재육성장학,광명시인재육성재단,장학금,총 134명 선발,장학금지급 : 최대 200만원,"고등학생, 대학생, 전문대생",2019. 12. 13. (금) ~ 2019. 12. 17. (화),지역 인재를 육성하기 위해 학생들에게 장학금을 지원하는 광명시인재육성재단의 장학사업입니다.
2062,제 17기 우수 예비대학생 글로벌 리더십 연수,한국청소년문화연구소,연수/연구장학,총 42명 선발,연수/연구지원 : 최대 -만원,"고등학생, 기타/일반",2019. 12. 10. (화) ~ 2019. 12. 22. (일),중국 북경에서의 3박4일 해외연수 및 국내연수를 전액지원하는 글로벌 리더십 함양 프로그램
2063,다문화가족 자녀 장학,한국건강가정진흥원,장학금,총 35명 선발,장학금지급 : 최대 300만원,"중학생, 고등학생, 대학생, 전문대생",2019. 12. 06. (금) ~ 2019. 12. 16. (월),다문화가족 자녀의 이중언어 인재 성장과 사회참여를 지원하기 위한 장학사업
2064,안산시 생활안정자금 융자,안산시,대출지원,인원 미정,대출 지원 : 최대 1000만원,기타/일반,2019. 12. 09. (월) ~ 2019. 12. 20. (금),"근로능력이 있고 자활의욕이 강한 생계·의료급여 수급자를 대상으로 전세보증금, 사업자금, 학자금을 융자해주는 안산시의 지원사업입니다."
2065,오산시 관내 대학생 매입임대주택,오산시,기숙사/주거지원,총 39명 선발,거주 지원 : 최대 -만원,"대학생, 전문대생",2019. 12. 05. (목) ~ 2019. 12. 19. (목),타지역 출신 오산시 관내 대학생의 주거부담을 덜기 위해 기존주택 매입 후 시세보다 저렴하게 공급하는 경기도시공사 수요자 맞춤형 매입임대주택
2066,경기여성 취업지원금,경기도일자리재단,기타장학,인원 미정,"활동 지원 : 최대 90만원
기타혜택 : 최대 -만원",기타/일반,2019. 12. 02. (월) ~ 2019. 12. 13. (금),적극적 구직의사가 있는 미취업 여성(만 35세 ~ 59세)에게 월 30만원씩 최대 3개월간 구직활동 비용을 지원하는 제도입니다.
2067,한성자동차 드림그림 9기 멘토 모집,한성자동차,장학프로그램,인원 미정,"활동 지원 : 최대 -만원
기타혜택 : 최대 -만원","대학생, 전문대생, 대학원생",2019. 11. 27. (수) ~ 2019. 12. 20. (금),한성자동차와 한국메세나협회가 미술영재 장학사업에서 중고교 학생들을 도울 대학(원)생 멘토를 모집합니다.
2068,한성자동차 드림그림 9기 멘티 모집,한성자동차,장학프로그램,총 8명 선발,"장학금지급 : 최대 30만원
기타혜택 : 최대 -만원",중학생,2019. 11. 27. (수) ~ 2019. 12. 20. (금),한성자동차와 한국메세나협회가 미술에 재능을 갖춘 중학생을 지원하는 미술 멘토링 사업입니다.
2069,한국지도자육성장학 (2020년),한국지도자육성장학재단,장학금,총 90명 선발,장학금지급 : 최대 -만원,대학생,2019. 12. 11. (수) ~ 2020. 01. 10. (금),한국지도자육성장학재단에서 리더십 경험이 있는 대학생을 지원하는 장학입니다.
2070,예술인 공공주택 입주자 모집,강북구,기숙사/주거지원,총 18명 선발,거주 지원 : 최대 -만원,기타/일반,2019. 12. 05. (목) ~ 2019. 12. 19. (목),문화예술인들의 주거 공동체를 형성하고 지역사회를 위한 문화예술활동의 거점이 될 수 있도록 강북구가 진행하는 예술인마을 공공주택 지원사업입니다.
2071,대구예술발전소 입주작가 모집,대구문화재단,기숙사/주거지원,총 21명 선발,"거주 지원 : 최대 -만원
활동 지원 : 최대 -만원",기타/일반,2019. 12. 13. (금) ~ 2019. 12. 19. (목),다양하고 실험적인 예술 창작 독려 및 예술가의 활동 증진을 위해 대구예술발전소의 연초제초장 별관창고를 리모델링한 융복합 예술창작공간을 대여해주는 대구문화재단의 지원사업입니다.
2072,성옥문화재단 장학,성옥문화재단,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2019. 12. 09. (월) ~ 2020. 01. 31. (금),재단선정 학교의 3~4학년 학생들에게 장학금을 지급하는 성옥문화재단의 장학사업입니다.
2073,선암장학재단 장학,선암장학재단,장학금,총 00명 선발,장학금지급 : 최대 800만원,"고등학생, 대학생",2019. 12. 02. (월) ~ 2020. 01. 10. (금),지역사회 발전과 국가 발전의 중추적인 인재를 양성하고자 선암장학재단에서 진행하는 장학사업입니다.
2074,청소년 학습지원 대학생멘토 모집,화성시,"장학프로그램, 근로장학",총 12명 선발,근로비/수당 : 최대 40만원,"대학생, 전문대생",2019. 11. 25. (월) ~ 2019. 12. 20. (금),시립 아동청소년센터와 대학생을 연계하여 시립 아동·청소년센터 학생들의 기초학습능력을 향상시키고 학습에 대한 흥미와 자신감을 높여주고 진로 고민에 대한 해결방안을 조언해 줄 대학생 멘토를 모집합니다.
2075,서울여대 성정 황영옥 장학,성정(聖情) 황영옥 여사,장학금,총 16명 선발,장학금지급 : 최대 150만원,대학생,2019. 12. 16. (월) ~ 2019. 12. 27. (금),성정 황영옥 여사가 서울여자대학교에 기부하여 지급되는 장학금입니다.
2076,사회적주택 입주자 모집,주거복지재단,기숙사/주거지원,인원 미정,거주 지원 : 최대 -만원,"대학생, 전문대생, 기타/일반",2019. 09. 30. (월) ~ 2019. 12. 31. (화),SH와 LH 등의 공공사업자가 매입한 주택을 대학생과 청년에게 주변 시세의 50% 수준으로 커뮤니티 및 취업활동 등과 같은 다양한 주거서비스와 함께 제공하는 사업입니다.
2077,청년맞춤제작소 in 오산,오산시,장학프로그램,총 30명 선발,"활동 지원 : 최대 -만원
기타혜택 : 최대 -만원",기타/일반,2019. 12. 01. (일) ~ 2019. 12. 31. (화),"만 19세에서 만 34세 미취업청년에게 식사비, 인턴십 등의 개인 맞춤형 지원을 제공하는 오산시의 지원사업입니다."
2078,부산시 중구장학회 장학,중구장학회,장학금,총 50명 선발,장학금지급 : 최대 200만원,"중학생, 고등학생, 대학생, 전문대생",2020. 01. 02. (목) ~ 2020. 01. 31. (금),생활이 어렵거나 학업성적이 우수한 학생들에게 학업에 정진할 수 있는 환경을 제공하고자 장학금을 지급하는 부산시 중구장학회의 장학사업입니다.
2079,사천시 대학생 해외탐방 장학,사천시인재육성장학재단,연수/연구장학,총 20명 선발,연수/연구지원 : 최대 1000만원,"대학생, 전문대생",2019. 12. 18. (수) ~ 2019. 12. 31. (화),"사천시 지역발전에 기여하고, 세계를 향해 꿈을 펼쳐나갈 글로벌 우수인재의 발굴 및 육성을 위해 대학생들의 그룹 해외 문화탐방을 지원하는 사천시 인재육성장학재단의 장학사업입니다."
2080,탈북민 여대생 기숙사 입주자모집,열매나눔재단,기숙사/주거지원,총 6명 선발,거주 지원 : 최대 -만원,"대학생, 전문대생",2019. 12. 09. (월) ~ 2019. 12. 30. (월),주거문제로 학업에 어려움을 겪고 있는 북한이탈대학생에게 안정적인 생활환경과 맞춤형 자립 프로그램을 지원하는 열매나눔재단의 주거지원사업입니다.
2081,KB국민은행 대학생 봉사장학,KB국민은행,장학프로그램,총 160명 선발,"장학금지급 : 최대 200만원
활동 지원 : 최대 -만원","대학생, 대학원생",2019. 12. 13. (금) ~ 2019. 12. 30. (월),저소득층 청소년 학습멘토링 프로그램을 진행할 대학생 봉사단을 모집하고 일정 기간의 모든 봉사활동을 끝낸 학생에게 장학금을 지급하는 KB국민은행과 아이들과미래재단의 장학프로그램입니다.
2082,2020년 대산보험장학,대산신용호기념사업회,장학금,총 5명 선발,장학금지급 : 최대 1200만원,대학원생,2019. 12. 03. (화) ~ 2019. 12. 31. (화),인재를 양성해 사업발전의 기틀을 다진다는 대산신용호선생의 철학을 계승하기 위해 2007년부터 시행되고있는 대산신용호기념사업회의 장학사업입니다.
2083,제 23회 이한열 장학,(사)이한열기념사업회,장학금,총 10명 선발,장학금지급 : 최대 150만원,"대학생, 전문대생",2019. 12. 16. (월) ~ 2019. 12. 31. (화),이한열 정신을 이어받아 활동하는 대학생을 대상으로 장학금을 지급하는 이한열기념사업회의 장학사업입니다.
2084,신한장학재단 일반장학,신한장학재단,장학금,총 100명 선발,장학금지급 : 최대 -만원,"중학생, 고등학생, 대학생",2019. 11. 29. (금) ~ 2019. 12. 31. (화),"생활의 어려움으로 인해 학업에 전념하지 못하는 인재를 발굴하여, 이들이 국가의 동량으로 성장해 나갈 수 있도록 지원하고자 신한금융그룹이 설립한 신한장학재단의 장학사업입니다."
2085,원모평애장학원 효정문화예술 장학 (2020년),HJ세계평화재단 원모평애장학원,장학금,인원 미정,장학금지급 : 최대 400만원,"고등학생, 대학생, 전문대생",2019. 12. 01. (일) ~ 2019. 12. 22. (일),HJ세계평화재단 원모평애장학원에서 문화 예술에 재능이 있는 고등학생 또는 대학생을 지원하는 장학입니다.
2086,폴얀센 정신장애 자녀 장학 (2020년),아이들과미래재단,장학금,총 50명 선발,장학금지급 : 최대 120만원,"초등학생, 중학생, 고등학생",2019. 12. 13. (금) ~ 2019. 12. 26. (목),아이들과미래재단이 한국얀센과 함께 정신장애인 초·중·고등학생을 지원하는 장학입니다.
2087,농식품 분야 해외 인턴십 (2020년 상반기),농림수산식품교육문화정보원,취업연계/산학장학,총 00명 선발,기타혜택 : 최대 -만원,"대학생, 전문대생, 대학원생",2019. 12. 16. (월) ~ 2019. 12. 29. (일),농림수산식품교육문화정보원에서 청년을 대상으로 운영하는 농식품 분야 해외 인턴십 지원사업입니다.
