id,contest_name,company_type,institution,target,rewards,app_period,contest_benefit,fields
100217,2022 경기창업경진대회,중견기업,올콘 (한국경제신문),대상 제한 없음,2900만 원,22.8.17 ~ 22.9.16,기타,창업
100233,"""함께 만드는 안전한 학교"" 제9회 안전한 학교 공모전 (~9/30)",기타,공모전사무국,대상 제한 없음,-,22.8.17 ~ 22.9.30,기타,기타
100267,2022 아름다운 지역어 멋글씨 공모전,기타,동아대학교,대상 제한 없음,90만 원,22.8.16 ~ 22.9.23,"기타, 상장 수여","디자인/순수미술/공예, 기타"
100285,2022 부산MBC 기장임랑 해변대학가요제 트로트편,중견기업,부산문화방송(주),대학생,1100만 원,22.7.28 ~ 22.8.21,"기타, 상장 수여",예체능/패션
100296,과정평가형 국가기술자격 닉네임 공모전,공공기관/공기업,한국산업인력공단,대상 제한 없음,100만 원,22.8.19 ~ 22.9.14,실제상용화,"기획/아이디어, 네이밍/슬로건"
100298,"리얼리서치의 지원사격, 학술조사 프로모션",중소기업,미디어리얼리서치코리아,"대학생, 직장인/일반인",-,22.8.18 ~ 상시모집,기타,"학술, 기획/아이디어"
100299,제26회 돈보스코청소년영상제,비영리단체/협회/재단,돈버스코정보문화센터,청소년,-,22.8.16 ~ 22.9.13,기타,사진/영상/UCC
100304,"[ERT 공동챌린지2탄] 제로웨이스트 데이 ""쓰레기 없는 날에 동참해주세요~!""",비영리단체/협회/재단,파이브세컨즈,대상 제한 없음,500만 원,22.7.22 ~ 22.9.30,기타,"기타, 사진/영상/UCC"
100310,2022 구미시 유튜브 콘테스트 공모전,공공기관/공기업,구미시청,대상 제한 없음,1200만 원,22.9.13 ~ 22.10.14,기타,사진/영상/UCC
100322,2022 산업통상자원부 ISTANS 논문경진대회,기타,산업통상자원부 / 산업연구원,"대학생, 직장인/일반인",500만 원,22.7.6 ~ 22.9.30,기타,학술
100323,제9회 21세기 인문가치 포럼 2022년 인문가치 논문 공모전,기타,21세기인문가치포럼 / POD,대학생,480만 원,22.7.18 ~ 22.8.31,기타,학술
100324,2022년도 R-BIZ Challenge,비영리단체/협회/재단,산업통상자원부 / 한국로봇산업진흥원 / 한국로봇산업협회,"대학생, 직장인/일반인",2500만 원,22.8.8 ~ 22.9.11,기타,광고/마케팅
