id,activity_name,company_type,institution,target,app_period,activity_period,recruit,prefer,activity_benefit,interests,fields,,,,,,,,,,,
100970,[한국SW산업협회] 2022 하반기 기업멤버십 SW캠프 교육생 추가 모집,공공기관/공기업,한국SW산업협회,"대학생, 직장인/일반인",22.8.22 ~ 22.9.14,22.8.1 ~ 23.3.31,00명,"리더십, 기타","활동비, 인턴쉽 기회","교육, 과학/공학/기술/IT","강연, 멘토링",,,,,,,,,,,
100982,ICT융합 산업보안 인력양성사업 스마트 제조 분야 교육생 모집,-,한국 정보보호산업협회,-,-,-,0명,모두 지원 가능,-,,,,,,,,,,,,,
100983,ICT융합 산업보안 인력양성사업 스마트 제조 분야 교육생 모집,비영리단체/협회/재단,한국 정보보호산업협회,"대학생, 직장인/일반인",22.8.24 ~ 22.11.2,22.8.24 ~ 22.11.2,30명,기타,수료증 및 인증서,과학/공학/기술/IT,강연,,,,,,,,,,,
100986,"실전 전략기획 프로젝트, 청년 진짜를 기획하라 8기 모집(청진기 X 부산시민대학)",중소기업,(주)마중물리서치,대학생,22.8.23 ~ 22.9.7,22.9.20 ~ 22.10.29,75명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 타 대외활동 경험","전문가/임직원 멘토링, 수료증 및 인증서","경영/컨설팅/마케팅, 기타",기타,,,,,,,,,,,
101003,굿네이버스 경기서부지부 '유아나눔교육 컨텐츠' 만들기 삽화 재능기부자 모집,비영리단체/협회/재단,굿네이버스 경기서부지부,"대학생, 직장인/일반인",22.8.24 ~ 23.1.3,22.9.19 ~ 22.12.18,00명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 기타","수료증 및 인증서, 봉사활동시간","디자인/사진/예술/영상, 콘텐츠",기타,,,,,,,,,,,
101010,제3기 화장품산업 직무과정 교육생 모집,-,한국보건복지인력개발원,-,-,-,0명,모두 지원 가능,-,,,,,,,,,,,,,
101014,"2022 홍릉 · 회기동 지역 축제 ""COME BACK HONG"" 기획 CREW 모집",공공기관/공기업,홍릉 일대 도시재생현장지원센터,"대학생, 직장인/일반인",22.8.22 ~ 22.9.4,22.9.13 ~ 22.11.18,00명,"콘텐츠 기획/제작 경험, 행사 기획 경험","활동비, 수료증 및 인증서","행사/페스티벌, 콘텐츠","서포터즈, 마케터",,,,,,,,,,,
101031,[신사종합사회복지관] 1:1 맞춤형 스마트폰 교육 봉사자 모집,비영리단체/협회/재단,신사종합사회복지관,대상 제한 없음,22.8.24 ~ 상시모집,22.9.1 ~ 22.11.24,0명,"멘토링/수업 진행 경험, 휴학 중/시간 투자 가능",봉사활동시간,"사회공헌/교류, 기타","봉사단-국내, 기타",,,,,,,,,,,
101034,2022 안산시 청년정책토론회,공공기관/공기업,경기내일스퀘어안산 상상대로,"대학생, 직장인/일반인",22.8.24 ~ 22.8.26,22.8.27 ~ 22.8.27,100명,기타,"사은품 지급, 수료증 및 인증서",기타,기타,,,,,,,,,,,
101036,"[클로즈업] ""콘텐츠 마케팅으로 커리어 확장하기"" 라이브 참여 신청",중견기업,허스트중앙(유),"대학생, 직장인/일반인",22.8.22 ~ 22.9.4,22.9.7 ~ 22.9.7,00명,기타,"전문가/임직원 멘토링, 행사 참여","경영/컨설팅/마케팅, 콘텐츠","마케터, 강연",,,,,,,,,,,
101040,[2022 서포터즈] 남도여행길잡이 ‘남도메이트’ 서포터즈 3차 모집,공공기관/공기업,전라남도 관광과,대상 제한 없음,22.8.24 ~ 22.9.7,22.9.9 ~ 22.10.9,10명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 행사 기획 경험",행사 참여,"여행/호텔/항공, 콘텐츠",서포터즈,,,,,,,,,,,
101042,국립대학 육성사업 대학생 홍보대사 9기,공공기관/공기업,국립대학 육성사업 발전협의회,대학생,22.8.22 ~ 22.9.2,22.10.1 ~ 22.12.31,14명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험",활동비,"교육, 디자인/사진/예술/영상","서포터즈, 기자단",,,,,,,,,,,
101043,[미니인턴X티에스엔랩] 기업 실무과제를 수행하고 IT개발자로 취업할 수 있는 기회! 채용형 미니인턴 모집 중! (~09/05),중소기업,오픈놀,"대학생, 직장인/일반인",22.8.24 ~ 22.9.5,22.9.7 ~ 22.9.21,0명,"컴퓨터 활용능력, 휴학 중/시간 투자 가능",수료증 및 인증서,과학/공학/기술/IT,기타,,,,,,,,,,,
101044,청춘닭꼬치 서포터즈 - 청춘이 1기 모집,중소기업,(주)청춘에프앤비,대상 제한 없음,22.8.24 ~ 22.8.31,22.9.2 ~ 22.9.30,00명,"파워블로거/SNS, 콘텐츠 기획/제작 경험","활동비, 수료증 및 인증서","요리/식품, 콘텐츠",서포터즈,,,,,,,,,,,
101059,뚜벅이 자유살기,스타트업,(주)메이드인피플,대상 제한 없음,22.8.16 ~ 22.9.16,22.8.16 ~ 22.9.16,0명,기타,"활동비, 사은품 지급","여행/호텔/항공, 체육/헬스",기타,,,,,,,,,,,
101085,카카오엔터프라이즈와 함께 하는 K-Digital Training 7기/6기 모집,공공기관/공기업,구름,직장인/일반인,22.8.24 ~ 22.9.26,22.10.7 ~ 23.2.1,100명,기타,"활동비, 인턴쉽 기회","교육, 과학/공학/기술/IT",기타,,,,,,,,,,,
101086,"누적 취업률 85% 이상 마케팅 6주 부트캠프, 그로스쿨 마케팅 러너 1기",스타트업,연플,"대학생, 직장인/일반인",22.8.16 ~ 22.9.15,22.9.24 ~ 22.10.29,20명,기타,"실무 교육, 전문가/임직원 멘토링","경영/컨설팅/마케팅, 콘텐츠","마케터, 기타",,,,,,,,,,,
101098,제17회 부산국제매직페스티벌 BIMFUS 4기 서포터즈 모집,비영리단체/협회/재단,(사)부산국제매직페스티벌조직위원회,"대학생, 직장인/일반인",22.8.23 ~ 22.9.2,22.9.13 ~ 22.11.13,0명,파워블로거/SNS,"활동비, 수료증 및 인증서","행사/페스티벌, 디자인/사진/예술/영상",서포터즈,,,,,,,,,,,
101099,"SuperWeek 2022, ‘새로운 세상을 만들다, SuperApp’ 사전등록 경품 이벤트!",-,티맥스와플,-,-,-,0명,모두 지원 가능,-,,,,,,,,,,,,,
101105,"SuperWeek 2022, ‘새로운 세상을 만들다, SuperApp’ 사전등록 경품 이벤트!",중소기업,티맥스와플,대상 제한 없음,22.8.25 ~ 22.9.5,22.8.8 ~ 22.9.5,00000명,기타,행사 참여,"행사/페스티벌, 과학/공학/기술/IT","강연, 기타",,,,,,,,,,,
101111,2022년 인터넷·스마트폰 치유캠프 멘토 모집,비영리단체/협회/재단,경기도청소년상담복지센터,대학생,22.8.24 ~ 22.9.7,22.9.29 ~ 22.10.6,00명,"사진/영상/디자인 툴, 멘토링/수업 진행 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험","활동비, 수료증 및 인증서",기타,멘토링,,,,,,,,,,,
101121,[강남장애인복지관] 발달장애청소년 면접 메이크업 시연 및 강의 자원봉사자 모집,공공기관/공기업,강남장애인복지관,"대학생, 직장인/일반인",22.8.25 ~ 22.9.9,22.9.13 ~ 22.9.13,2명,기타,봉사활동시간,"교육, 뷰티/미용/화장품","봉사단-국내, 강연",,,,,,,,,,,
101129,스쿨룩스 크루 3기 모집,중소기업,(주) 프리즘커뮤니케이션,대상 제한 없음,22.8.22 ~ 22.9.4,22.9.8 ~ 22.10.31,10명,"파워블로거/SNS, 사진/영상/디자인 툴","사은품 지급, 수료증 및 인증서",콘텐츠,서포터즈,,,,,,,,,,,
101133,지역기반형 교육복지 협력사업 유플로그 멘토모집 [청소년 브이로그 멘토 / 유급],비영리단체/협회/재단,서울시립성동청소년센터,"대학생, 직장인/일반인",22.8.25 ~ 22.8.31,22.8.25 ~ 22.9.9,10명,"파워블로거/SNS, 사진/영상/디자인 툴, 멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험, 리더십, 휴학 중/시간 투자 가능, 타 대외활동 경험, 기타","활동비, 봉사활동시간","여행/호텔/항공, 교육","서포터즈, 봉사단-국내",,,,,,,,,,,
101141,2022 체인지메이커 유스리빙랩 3기,비영리단체/협회/재단,씨닷,대학생,22.8.24 ~ 22.9.19,22.10.1 ~ 22.12.17,30명,기타,"활동비, 수료증 및 인증서",사회공헌/교류,"멘토링, 강연",,,,,,,,,,,
101142,(무료/점심제공)굿브레인 2022 국제 콘퍼런스에 초대합니다!,중소기업,더베어컴퍼니,대상 제한 없음,22.8.25 ~ 22.9.19,22.9.21 ~ 22.9.21,00명,기타,행사 참여,"의료/보건, 과학/공학/기술/IT","강연, 기타",,,,,,,,,,,
101146,[EF 코리아] 2022 EF Brand Promoter 모집,외국계기업,(주)이에프에듀케이션퍼스트코리아,대학생,22.8.24 ~ 22.9.1,22.9.2 ~ 22.9.17,0명,기타,"행사 참여, 수료증 및 인증서","여행/호텔/항공, 교육","서포터즈, 마케터",,,,,,,,,,,
101147,[애드캠퍼스] 애캐머 대학생 멘토단 1기 모집,스타트업,주식회사 텐덤,대학생,22.8.24 ~ 22.8.31,22.9.2 ~ 22.9.30,0명,"멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험","활동비, 수료증 및 인증서","교육, 경영/컨설팅/마케팅","서포터즈, 멘토링",,,,,,,,,,,
101148,"(활동비, 봉사시간 부여)[2022년 마포혁신교육지구『우리가족 마.피.아.찾기 대학생 멘토 모집』]",비영리단체/협회/재단,시립마포청소년센터,"대학생, 직장인/일반인",22.8.25 ~ 모집시 마감,22.9.17 ~ 22.10.8,0명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 타 대외활동 경험, 기타","활동비, 봉사활동시간","디자인/사진/예술/영상, 사회공헌/교류","서포터즈, 봉사단-국내",,,,,,,,,,,
101152,[제8회 서울국제음식영화제] 자원활동가 '음식남녀' 모집(~9/19),비영리단체/협회/재단,사단법인 서울국제음식영화제,"대학생, 직장인/일반인",22.8.26 ~ 22.9.19,22.10.20 ~ 22.10.27,00명,"사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력, 리더십, 타 대외활동 경험, 행사 기획 경험","활동비, 봉사활동시간","행사/페스티벌, 디자인/사진/예술/영상","서포터즈, 기타",,,,,,,,,,,
101159,"[고용노동부/아시아경제] 100% 국비무료교육 듣고 빅데이터 분석자, 핀테크 서비스기획자가 될 수 있다? 매월 훈련장려금도 받고 취뽀하자! 취업특화과정 훈련생 모집(~9.12)",중견기업,(주)아시아경제,대상 제한 없음,22.8.25 ~ 22.9.12,22.9.13 ~ 23.2.22,00명,"컴퓨터 활용능력, 휴학 중/시간 투자 가능","실무 교육, 수료증 및 인증서","교육, 과학/공학/기술/IT",기타,,,,,,,,,,,
101167,2022 환경창업대전 최종발표회 및 시상식,공공기관/공기업,환경부,대상 제한 없음,22.9.1 ~ 22.9.2,22.9.1 ~ 22.9.2,00명,기타,"사은품 지급, 행사 참여","행사/페스티벌, 기타",기타,,,,,,,,,,,
101168,"[과기정통부/KAIT] 내일배움카드X, 전공 무관! 국비 무료 인공지능 서비스 기획과정 교육생 모집",공공기관/공기업,한국정보통신진흥협회,대상 제한 없음,22.8.11 ~ 22.9.21,22.9.26 ~ 22.11.22,00명,기타,"전문가/임직원 멘토링, 수료증 및 인증서",과학/공학/기술/IT,"강연, 기타",,,,,,,,,,,
101170,KB 대학생경제금융교육봉사단 폴라리스 원주 19기 모집,비영리단체/협회/재단,원주YMCA,대학생,22.8.15 ~ 22.8.31,22.8.15 ~ 22.8.31,10명,"멘토링/수업 진행 경험, 리더십, 타 대외활동 경험","활동비, 수료증 및 인증서","교육, 경제/금융","봉사단-국내, 멘토링",,,,,,,,,,,
101172,KOICA-NGO봉사단 Edu-Corps 단원을 찾습니다!(~9/30),공공기관/공기업,서울시자원봉사 센터,"대학생, 직장인/일반인",22.8.22 ~ 22.9.30,22.11.7 ~ 23.12.31,40명,"멘토링/수업 진행 경험, 외국어, 휴학 중/시간 투자 가능","활동비, 전문가/임직원 멘토링","교육, 사회공헌/교류","봉사단-해외, 멘토링",,,,,,,,,,,
101174,[KT&G복지재단] 제61차 꿈그림 벽화그리기 일반스탭 모집,기타,KT&G복지재단,대학생,22.8.19 ~ 22.9.6,22.9.17 ~ 22.9.24,8명,기타,"사은품 지급, 봉사활동시간","행사/페스티벌, 사회공헌/교류",봉사단-국내,,,,,,,,,,,
101177,[미니인턴X고용노동부] HR의 A to Z가 궁금하다면?! 리얼리티한 실무경험으로 역량 있는 지원자가 되어보세요! 미니컴퍼니C 입사자 모집 중 (~09/04),중소기업,오픈놀,"대학생, 직장인/일반인",22.8.25 ~ 22.9.4,22.9.6 ~ 22.9.21,00명,휴학 중/시간 투자 가능,"실무 교육, 수료증 및 인증서","교육, 기타","강연, 멘토링",,,,,,,,,,,
101178,동원 포킷포킷 소시지 체험단 모집,중견기업,동원몰,대상 제한 없음,22.8.17 ~ 22.9.7,-,20명,"파워블로거/SNS, 기타",사은품 지급,요리/식품,기타,,,,,,,,,,,
101179,먼데이타임즈 영자신문사 서포터즈 6기 모집,중소기업,먼데이타임즈,대학생,22.8.29 ~ 22.9.2,22.9.1 ~ 23.6.30,0명,기타,"사은품 지급, 수료증 및 인증서","언론/미디어, 콘텐츠",서포터즈,,,,,,,,,,,
101180,2022 청량리 도시재생 청년서포터즈 모집,공공기관/공기업,청량리 도시재생현장지원센터 / 동대문구청,"대학생, 직장인/일반인",22.8.22 ~ 22.9.14,22.9.23 ~ 22.11.30,0명,기타,"활동비, 수료증 및 인증서",환경/에너지,서포터즈,,,,,,,,,,,
101181,마케팅 실무 전문교육 8기 모집 중,기타,뷰티풀라이프,대상 제한 없음,22.8.25 ~ 22.8.29,22.10.2 ~ 22.12.4,00명,기타,"실무 교육, 수료증 및 인증서","언론/미디어, 경영/컨설팅/마케팅","강연, 멘토링",,,,,,,,,,,
101182,아트리핀(atripin) 클로즈베타 테스트 서포터즈 1기 모집,중소기업,크리온,대학생,22.8.22 ~ 22.9.4,22.9.6 ~ 22.10.4,00명,기타,"활동비, 수료증 및 인증서","디자인/사진/예술/영상, 과학/공학/기술/IT",서포터즈,,,,,,,,,,,
101183,제7회 늘푸른연극제 서포터즈 모집,비영리단체/협회/재단,스튜디오반 / 제7회 늘푸른연극제운영위원회,대상 제한 없음,22.8.24 ~ 22.9.12,22.9.1 ~ 23.1.31,00명,"파워블로거/SNS, 기타","활동비, 수료증 및 인증서",디자인/사진/예술/영상,서포터즈,,,,,,,,,,,
101185,CU공식 서포터즈 CU덕후 35기 모집,중견기업,BGFretail,"대학생, 직장인/일반인",22.8.23 ~ 22.8.28,22.9.2 ~ 22.10.27,80명,"파워블로거/SNS, 기타","활동비, 사은품 지급","요리/식품, 콘텐츠",서포터즈,,,,,,,,,,,
101186,월드 웰니스관광페어 인 서울 2022 서포터즈 모집,비영리단체/협회/재단,"세계비즈앤스포츠월드, 세계일보, 서울관광재단",대상 제한 없음,22.8.24 ~ 22.8.30,22.9.5 ~ 22.10.2,0명,"사진/영상/디자인 툴, 기타","활동비, 수료증 및 인증서",콘텐츠,서포터즈,,,,,,,,,,,
101187,네이처리퍼블릭 대학생 온라인 리뷰 서포터즈 네리뷰어 6기 모집,중견기업,네이처리퍼블릭,대학생,22.8.24 ~ 22.9.4,22.9.14 ~ 23.1.31,30명,기타,"사은품 지급, 수료증 및 인증서","뷰티/미용/화장품, 콘텐츠",서포터즈,,,,,,,,,,,
101195,2022년 제5회 환자안전주간 행사 국민의 안전을 지키는 '정확하고 올바른 투약',공공기관/공기업,"보건복지부, 중앙환자안전센터, 의료기관평가인증원",대상 제한 없음,22.8.24 ~ 22.9.13,22.9.17 ~ 22.9.17,0명,기타,"사은품 지급, 행사 참여","디자인/사진/예술/영상, 의료/보건",기타,,,,,,,,,,,
101201,[DB손해보험] 대학생 서포터즈 DREAMER 10기 모집 (~9/4),대기업,DB손해보험,대학생,22.8.26 ~ 22.9.4,22.9.8 ~ 22.9.23,0명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 기타","활동비, 수료증 및 인증서","경제/금융, 경영/컨설팅/마케팅","서포터즈, 마케터",,,,,,,,,,,
101216,[쓰담쓰담] (자)신과 함께 모집(~﻿08/28 24:00),비영리단체/협회/재단,쓰담쓰담,대학생,22.8.25 ~ 22.8.28,22.8.29 ~ 22.8.30,40명,기타,행사 참여,"행사/페스티벌, 창업/자기계발",기타,,,,,,,,,,,
101236,아이엘프유 서포터즈 모집,스타트업,렉시코리아,대상 제한 없음,22.8.26 ~ 22.9.4,22.9.4 ~ 22.12.3,00명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 타 대외활동 경험","사은품 지급, 수료증 및 인증서","디자인/사진/예술/영상, 뷰티/미용/화장품",서포터즈,,,,,,,,,,,
101238,윈스펙 공기업 취업 서포터즈 40기 모집,중소기업,윈스펙,대상 제한 없음,22.8.26 ~ 22.9.8,22.9.13 ~ 22.9.23,200명,파워블로거/SNS,수료증 및 인증서,교육,서포터즈,,,,,,,,,,,
101239,더아로마샵 화장품 서포터즈 아로마리 5기 모집,중소기업,(주) 겔로이인터내셔널,대상 제한 없음,22.8.26 ~ 22.9.30,22.10.3 ~ 22.10.18,50명,"파워블로거/SNS, 사진/영상/디자인 툴",수료증 및 인증서,뷰티/미용/화장품,기타,,,,,,,,,,,
101241,효순효식 이모티콘 제작 서포터즈,중소기업,라이프프랜드(주),대학생,22.8.26 ~ 22.9.18,22.9.28 ~ 22.11.30,00명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험","수료증 및 인증서, 입사시 혜택","디자인/사진/예술/영상, 콘텐츠","서포터즈, 기타",,,,,,,,,,,
101246,대학생 홍보대사 핫페퍼스 7기를 모집합니다!,금융권,페퍼저축은행,대학생,22.8.26 ~ 22.9.18,22.10.4 ~ 22.12.2,0명,기타,"활동비, 인턴쉽 기회","경제/금융, 체육/헬스","서포터즈, 마케터",,,,,,,,,,,
101263,trimm 라이더 2기 모집 (舊 trimm 서포터즈),중소기업,레이시오 유한책임회사,대상 제한 없음,22.8.26 ~ 22.9.6,22.9.13 ~ 22.11.14,00명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험","사은품 지급, 수료증 및 인증서",체육/헬스,서포터즈,,,,,,,,,,,
101272,<대한민국 메타-NFT 1000만명 양병설 두번째 프로젝트! 전국 대학생 1만명 대상 무료 NFT 대방출>,비영리단체/협회/재단,(주)코리아크로노스,대학생,22.8.26 ~ 22.9.2,22.9.3 ~ 22.9.3,10000명,"컴퓨터 활용능력, 휴학 중/시간 투자 가능","사은품 지급, 전문가/임직원 멘토링","교육, 경제/금융","강연, 멘토링",,,,,,,,,,,
101291,2022,-,(주) 캡슐미디어,-,-,-,0명,모두 지원 가능,-,,,,,,,,,,,,,
101292,2022 경남코리아컨텐츠랩 1인크리에이터 양성교육 2기 수강생 모집,중소기업,(주) 캡슐미디어,대상 제한 없음,22.8.26 ~ 22.9.16,22.10.4 ~ 22.11.18,0명,콘텐츠 기획/제작 경험,수료증 및 인증서,콘텐츠,강연,,,,,,,,,,,
101295,2022년 경남콘텐츠코리아랩 별별창작소 콘텐츠 스텝UP!하다 콘텐츠 실무교육 2기 수강생 모집,중소기업,(주) 캡슐미디어,대상 제한 없음,22.8.26 ~ 22.9.23,22.10.4 ~ 22.11.21,0명,기타,수료증 및 인증서,콘텐츠,강연,,,,,,,,,,,
101297,디지털 광고 마케팅 릴레이 특강,비영리단체/협회/재단,한신대학교,"대학생, 직장인/일반인",22.8.24 ~ 22.8.29,22.8.30 ~ 22.9.6,00명,기타,수료증 및 인증서,"교육, 경영/컨설팅/마케팅",강연,,,,,,,,,,,
101302,[정부전액지원] 초!고도성장 AI엔지니어 부트캠프 4기 모집중,중소기업,에이블런,대상 제한 없음,22.8.22 ~ 22.9.19,22.10.4 ~ 23.3.31,50명,기타,활동비,과학/공학/기술/IT,강연,,,,,,,,,,,
101307,기후변화청년모임 BigWave 2022 하반기 정기모집(~9.8.목),비영리단체/협회/재단,기후변화청년모임 BigWave,대상 제한 없음,22.8.24 ~ 22.9.8,22.9.26 ~ 23.2.28,00명,"휴학 중/시간 투자 가능, 행사 기획 경험","전문가/임직원 멘토링, 행사 참여","환경/에너지, 사회공헌/교류",기타,,,,,,,,,,,
101313,공기업 직업교육 수료증 4개 획득! 에듀퓨어 공.취.가 서포터즈 32기 모집♥,중소기업,(주)이밸류마크,대상 제한 없음,22.8.26 ~ 22.9.8,22.9.8 ~ 22.9.20,200명,파워블로거/SNS,수료증 및 인증서,교육,서포터즈,,,,,,,,,,,
101314,한국꿈재단 런치위드히어로 2기 서포터즈 모집,비영리단체/협회/재단,한국꿈재단,"대학생, 직장인/일반인",22.8.26 ~ 22.9.12,22.9.19 ~ 22.11.18,5명,"멘토링/수업 진행 경험, 타 대외활동 경험","활동비, 입사시 혜택","교육, 콘텐츠","서포터즈, 멘토링",,,,,,,,,,,
101315,제18회 전국 청소년 저작권 글짓기 대회,-,KEB하나은행,-,-,-,0명,모두 지원 가능,-,,,,,,,,,,,,,
101319,칸 라이언즈 x 서울 _ 영 라이언즈 서포터즈 8기 모집,중소기업,칸 라이언즈 한국사무국,"대학생, 직장인/일반인",22.8.26 ~ 22.9.6,22.9.21 ~ 22.9.23,15명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 외국어, 휴학 중/시간 투자 가능, 타 대외활동 경험, 행사 기획 경험","행사 참여, 수료증 및 인증서","행사/페스티벌, 콘텐츠","서포터즈, 기자단",,,,,,,,,,,
101322,"[교육봉사] 마음책방 대학생 교육봉사자 모집(~8/31 / 동천역, 안양역 부근)",비영리단체/협회/재단,피치마켓,대학생,22.8.22 ~ 22.8.31,22.8.22 ~ 22.8.31,4명,멘토링/수업 진행 경험,"수료증 및 인증서, 봉사활동시간","교육, 사회공헌/교류",봉사단-국내,,,,,,,,,,,
101345,제7회 커피 29초영화제 서포터즈 모집,중견기업,한국경제신문 / 29초영화제사무국,대상 제한 없음,22.8.23 ~ 22.8.28,22.8.30 ~ 22.9.23,30명,"파워블로거/SNS, 사진/영상/디자인 툴, 기타","사은품 지급, 수료증 및 인증서",디자인/사진/예술/영상,서포터즈,,,,,,,,,,,
101348,부산관광 글로벌 서포터즈 부산프렌즈 2기 모집,공공기관/공기업,부산광역시,대학생,22.8.22 ~ 22.9.4,22.9.1 ~ 23.2.28,80명,기타,"활동비, 수료증 및 인증서",여행/호텔/항공,서포터즈,,,,,,,,,,,
101350,광양시 중마장애인복지관 2022년 제1기 홍보서포터즈 추가모집,기타,광양시중마장애인복지관,"대학생, 직장인/일반인",22.8.25 ~ 22.8.31,22.9.1 ~ 22.11.30,0명,"파워블로거/SNS, 기타","사은품 지급, 봉사활동시간","정치/사회/법률, 콘텐츠",서포터즈,,,,,,,,,,,
101352,KT&G복지재단 제61차 아름드리 꿈그림 벽화그리기 일반스탭 모집,비영리단체/협회/재단,KT&G복지재단,대학생,22.8.19 ~ 22.9.6,22.9.17 ~ 22.9.24,0명,기타,"사은품 지급, 봉사활동시간",디자인/사진/예술/영상,봉사단-국내,,,,,,,,,,,
101355,국립호남권생물자원관 섬모아상생봉사단 1기 모집,기타,국립호남권생물자원관,대상 제한 없음,22.8.17 ~ 22.8.31,22.9.1 ~ 23.12.31,0명,기타,수료증 및 인증서,환경/에너지,봉사단-국내,,,,,,,,,,,
101358,"제5회 전주국제단편영화제 자원활동가, 관객심사단 모집",비영리단체/협회/재단,"(사)문화콘텐츠연구소 시네숲 / 전주국제단편영화제 조직, 집행위원회",대학생,22.8.19 ~ 22.8.31,22.9.28 ~ 22.10.3,10명,기타,"사은품 지급, 수료증 및 인증서",디자인/사진/예술/영상,봉사단-국내,,,,,,,,,,,
101361,자양종합사회복지관 경로식당 / 밑반찬 배달 자원봉사자 모집,비영리단체/협회/재단,자양종합사회복지관,대학생,22.8.23 ~ 22.9.18,-,0명,기타,"사은품 지급, 봉사활동시간",요리/식품,봉사단-국내,,,,,,,,,,,
101379,유학생을 위한 과제 첨삭 봉사자 모집,비영리단체/협회/재단,국제청년센터,대학생,22.8.27 ~ 22.9.7,22.9.15 ~ 22.12.15,0명,"외국어, 기타",봉사활동시간,"교육, 기타","봉사단-국내, 기타",,,,,,,,,,,
101381,‘2022 서울워크’ 자원 봉사자 모집,비영리단체/협회/재단,국제청년센터,대학생,22.8.27 ~ 22.10.5,22.9.3 ~ 22.10.10,00명,"콘텐츠 기획/제작 경험, 리더십, 휴학 중/시간 투자 가능, 타 대외활동 경험, 행사 기획 경험, 기타",봉사활동시간,"사회공헌/교류, 기타","봉사단-국내, 기타",,,,,,,,,,,
101389,포토그래메트리를 활용한 실감형 디지털 리소스(3D 에셋) 제작,비영리단체/협회/재단,한국메타버스산업협회,대상 제한 없음,22.8.25 ~ 22.9.8,22.8.25 ~ 22.9.8,15명,"사진/영상/디자인 툴, 휴학 중/시간 투자 가능","실무 교육, 수료증 및 인증서",과학/공학/기술/IT,멘토링,,,,,,,,,,,
101394,[추가모집] 2022 세계무형문화유산포럼 랜선 서포터즈 모집,비영리단체/협회/재단,세계무형문화유산포럼 운영사무국,대학생,22.8.29 ~ 모집시 마감,22.9.5 ~ 22.9.23,00명,"파워블로거/SNS, 타 대외활동 경험","사은품 지급, 수료증 및 인증서",문화/역사,"서포터즈, 강연",,,,,,,,,,,
101396,블록체인 기술사업화 실무 프로젝트,기타,한국취업센터,대상 제한 없음,22.7.15 ~ 22.8.29,22.8.30 ~ 22.11.4,30명,기타,수료증 및 인증서,"과학/공학/기술/IT, 기타","멘토링, 강연",,,,,,,,,,,
101400,"[무료교육, 특전제공] 채용연계형 빅데이터 교육_기업멤버십SW캠프",중소기업,글로벌소프트웨어캠퍼스,대상 제한 없음,22.8.29 ~ 22.9.18,22.9.19 ~ 23.4.27,24명,기타,활동비,기타,기타,,,,,,,,,,,
101401,[SBA서울산업진흥원] 청년취업사관학교 UXUI/3D그래픽 교육생 모집 (전액지원),공공기관/공기업,SBA서울산업진흥원,대상 제한 없음,22.8.29 ~ 22.9.18,22.9.26 ~ 23.1.20,00명,기타,실무 교육,과학/공학/기술/IT,"기타, 멘토링",,,,,,,,,,,
101408,엔지닉 반도체 빡공스터디 28기,중소기업,엔지닉,대상 제한 없음,22.8.29 ~ 22.9.16,22.9.19 ~ 22.9.30,300명,기타,"사은품 지급, 실무 교육","교육, 과학/공학/기술/IT","멘토링, 기타",,,,,,,,,,,
101414,[토익스피킹] 공식채점관의 무료 토스 인강 체험단 모집 (~9/12),중소기업,토커비,대상 제한 없음,22.8.29 ~ 22.9.12,22.9.13 ~ 22.9.17,00명,기타,사은품 지급,기타,기타,,,,,,,,,,,
101417,[한국산업인력공단] K-Move인도취업연수과정 8기 연수생 선발 (서울지역),공공기관/공기업,한국산업인력공단,대상 제한 없음,22.8.29 ~ 모집시 마감,22.9.26 ~ 23.2.8,00명,기타,"실무 교육, 인턴쉽 기회",경영/컨설팅/마케팅,"멘토링, 강연",,,,,,,,,,,
101436,국내·외 유통 대기업 현직자와 함께하는 루키들의 직무캠프 9기: 마케팅편,중소기업,루키즈 캠퍼스,"대학생, 직장인/일반인",22.8.29 ~ 22.9.7,22.9.13 ~ 22.9.15,15명,"컴퓨터 활용능력, 리더십, 타 대외활동 경험","실무 교육, 전문가/임직원 멘토링","교육, 경영/컨설팅/마케팅","멘토링, 마케터",,,,,,,,,,,
