id,activity_name,company_type,institution,target,app_period,activity_period,recruit,prefer,activity_benefit,interests,fields,,,,,,,,,,,
100088,[동작구] 청년 일자리 해방 프로그램! ♬ 전문가와 함께하는 자소서 완전 정복 프로그램 안내! ♬,중소기업,더와이랩,대상 제한 없음,22.8.17 ~ 22.8.18,22.8.19 ~ 22.8.19,00명,휴학 중/시간 투자 가능,수료증 및 인증서,"교육, 경영/컨설팅/마케팅","강연, 멘토링",,,,,,,,,,,
100091,궁금해! 반도체 진로캠프,기타,전자신문 교육법인 이티에듀,청소년,22.8.1 ~ 22.9.2,22.9.3 ~ 22.9.4,00명,기타,수료증 및 인증서,"교육, 과학/공학/기술/IT","강연, 멘토링",,,,,,,,,,,
100093,[고용노동부] 여름방학 마지막 기회! 신입 마케터가 되고 싶어? <2박3일 실무경험 프로젝트 6기>로 마케팅 실무역량 쌓기,중소기업,오픈놀,대학생,22.8.17 ~ 22.8.28,22.8.31 ~ 22.9.2,45명,"콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험","전문가/임직원 멘토링, 수료증 및 인증서","경영/컨설팅/마케팅, 콘텐츠","강연, 멘토링",,,,,,,,,,,
100095,[2022 제 8기 관객문화교실 심화반 수강생 모집],기타,모퉁이극장,대상 제한 없음,22.8.17 ~ 22.8.20,22.8.22 ~ 22.11.7,20명,기타,행사 참여,"언론/미디어, 콘텐츠",기타,,,,,,,,,,,
100100,"[고용노동부X한국산업인력공단] 유망한 신 산업분야 취업, 관심은 있는데 뭐부터 해야 할지 막막하다면?! 스타트업유니버시티 2기!(~8.31)",중소기업,(주)오픈놀,대학생,22.8.17 ~ 22.8.31,22.9.5 ~ 22.12.16,50명,"멘토링/수업 진행 경험, 컴퓨터 활용능력","실무 교육, 수료증 및 인증서","교육, 과학/공학/기술/IT","멘토링, 강연",,,,,,,,,,,
100103,'애매한 재능이 무기가 되는 순간' 저자 특강 안내,중소기업,더와이랩,대상 제한 없음,22.8.17 ~ 22.8.26,22.8.27 ~ 22.8.27,00명,휴학 중/시간 투자 가능,행사 참여,"교육, 경영/컨설팅/마케팅",강연,,,,,,,,,,,
100110,"'동사형 꿈', '취업 서바이벌' 저자 특강 안내",중소기업,더와이랩,대상 제한 없음,22.8.17 ~ 22.8.26,22.8.27 ~ 22.8.27,00명,휴학 중/시간 투자 가능,행사 참여,"교육, 경영/컨설팅/마케팅",강연,,,,,,,,,,,
100111,사업명 : 2022년 GN월드투어 3기 모집 ~31),비영리단체/협회/재단,굿네이버스대구서부지부,"대학생, 직장인/일반인",22.8.17 ~ 22.8.31,22.9.16 ~ 22.10.7,30명,기타,수료증 및 인증서,"교육, 사회공헌/교류","강연, 봉사단-해외",,,,,,,,,,,
100112,2022 청춘너나들이 나들[I.D.]찾기,비영리단체/협회/재단,대전청년내일센터 청춘너나들이,"대학생, 직장인/일반인",22.8.1 ~ 22.8.19,22.8.1 ~ 22.8.19,30명,기타,사은품 지급,"교육, 창업/자기계발","멘토링, 강연",,,,,,,,,,,
100115,[서울시X구로구] 디자인 직무 강의와 실습으로 포트폴리오 완성하실 00님 구함(~9/12 모집),중소기업,구로청년이룸,"대학생, 직장인/일반인",22.8.17 ~ 22.9.12,22.9.17 ~ 22.11.5,15명,휴학 중/시간 투자 가능,"실무 교육, 전문가/임직원 멘토링","교육, 디자인/사진/예술/영상","강연, 멘토링",,,,,,,,,,,
