인덱스,대외활동명,기업명,기업형태,접수기간,모집인원,우대역량,관심분야,활동분야,활동지역,활동기간,참여대상
81504,2022년 『바이오·의약 R&D 분석연구 전문교육』교육생 모집,한국여성과학기술인육성재단,공공기관/공기업,22.3.7 ~ 22.4.3,20명,기타,교육,기타,서울 강남구,22.4.26 ~ 22.5.31,"대학생, 직장인/일반인"
81521,제16회 DIMF 딤프지기(자원활동가) 모집(~04/12),사단법인 대구국제뮤지컬페스티벌,비영리단체/협회/재단,22.3.14 ~ 22.4.12,160명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 외국어, 타 대외활동 경험, 행사 기획 경험",행사/페스티벌디자인/사진/예술/영상,서포터즈봉사단-국내,"대구 남구, 달서구, 달성군, 동구, 북구, 수성구, 중구",22.6.24 ~ 22.7.11,대상 제한 없음
81525,22년 장애가정아동 성장멘토링 대학(원)생 멘토 모집,서울특별시장애인재활협회,비영리단체/협회/재단,22.3.2 ~ 22.3.25,8명,"멘토링/수업 진행 경험, 타 대외활동 경험",사회공헌/교류,멘토링,서울,22.3.28 ~ 22.11.30,대학생
81526,[멘토링] K-water 장학회 2022 멘토 추가 모집 (~03/16),(사)아시아교류협회,비영리단체/협회/재단,22.3.10 ~ 22.3.16,143명,"멘토링/수업 진행 경험, 휴학 중/시간 투자 가능",교육,멘토링,지역 제한없음,22.3.10 ~ 22.3.16,대학생
81574,삼성소리샘복지관 2022년 장애가정아동 성장멘토링 대학(원)생 멘토 모집,"삼성소리샘복지관 / 한국장애인재활협회, 우정사업본부",비영리단체/협회/재단,22.3.14 ~ 22.3.17,7명,기타,사회공헌/교류기타,봉사단-국내멘토링,지역 제한없음,22.4.1 ~ 22.11.30,대학생
81575,제3기 스킨어블 뷰티 서포터즈 스뷰즈 모집,주식회사 미라,중소기업,22.3.14 ~ 22.4.4,100명,파워블로거/SNS,뷰티/미용/화장품,서포터즈,지역 제한없음,22.4.10 ~ 22.7.10,"대학생, 직장인/일반인"
81576,여행 서포터즈 4기 이제는 '로컬'이다!,모먼트스튜디오,중소기업,22.3.14 ~ 22.3.20,9명,기타,여행/호텔/항공,서포터즈,지역 제한없음,22.4.1 ~ 22.6.30,직장인/일반인
81577,2022 내외국인 대학생-다문화청소년 멘토링 프로그램 멘토 모집,"부산국제교류재단 / 부산국제교류재단, 부산광역시",공공기관/공기업,22.3.7 ~ 22.4.3,20명,기타,사회공헌/교류기타,멘토링,부산,-,대학생
81578,서초한우리오케스트라 서포터즈 2기 모집,서초구립 한우리정보문화센터,비영리단체/협회/재단,22.3.14 ~ 22.3.20,0명,기타,디자인/사진/예술/영상기타,서포터즈,서울 서초구,-,대상 제한 없음
81579,2022년 평화통일 청년 서포터즈 모집,부산광역시,공공기관/공기업,22.3.7 ~ 22.3.18,30명,기타,사회공헌/교류기타,서포터즈,부산,22.4.1 ~ 22.12.31,"대학생, 직장인/일반인"
