인덱스,대외활동명,기업명,기업형태,접수기간,모집인원,우대역량,관심분야,활동분야,활동지역,활동기간,참여대상
91484,"""야, 너두 유튜브 할 수 있어!"" 2022 시흥시청 크리에이터 제3기 양성 프로젝트!",(주)달달프렌즈,중소기업,22.6.13 ~ 22.6.22,15명,"콘텐츠 기획/제작 경험, 기타",디자인/사진/예술/영상콘텐츠,서포터즈멘토링,경기 시흥시,22.6.13 ~ 22.10.11,대상 제한 없음
91496,경제지식네트워크 10기 크루 모집,경제지식네트워크,비영리단체/협회/재단,22.6.13 ~ 22.7.2,18명,리더십,교육정치/사회/법률,강연멘토링,지역 제한없음,22.7.4 ~ 22.7.19,대학생
91498,청년 Hy-PO 1기 모집,SK하이닉스,대기업,22.6.7 ~ 22.6.26,0명,기타,교육,강연,지역 제한없음,22.6.7 ~ 22.6.26,대학생
91502,[동작구시설관리공단] 2022년 동작휴양소(동작 휴 스테이) SNS서포터즈 모집(~6/24),서울특별시동작구시설관리공단,공공기관/공기업,22.6.10 ~ 22.6.24,30명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험",여행/호텔/항공문화/역사,서포터즈,지역 제한없음,22.7.1 ~ 22.12.9,대상 제한 없음
91508,데싱디바 공식 온라인 서포터즈 크루 5기 모집,제이씨코리아(주),중소기업,22.6.13 ~ 22.6.26,50명,"파워블로거/SNS, 사진/영상/디자인 툴",뷰티/미용/화장품콘텐츠,서포터즈,지역 제한없음,22.7.1 ~ 22.12.31,대상 제한 없음
91512,[누네안과병원] NUNE+UNIVERSE 대학생 운영 마케터 모집,누네안과병원,병원,22.6.13 ~ 22.6.26,0명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 타 대외활동 경험, 행사 기획 경험",언론/미디어의료/보건,서포터즈마케터,서울,22.7.4 ~ 22.8.4,대학생
91515,[장학금지원사업] 2022년 서부공감 위피스쿨 11기 대학생 멘토 모집,한국인터넷소통협회,비영리단체/협회/재단,22.6.13 ~ 22.11.26,8명,"멘토링/수업 진행 경험, 타 대외활동 경험",사회공헌/교류,멘토링봉사단-국내,충청 태안군,22.7.27 ~ 22.8.11,대학생
91518,서울주택도시공사 대학생 서포터즈 제7기 래포터즈 모집(기간연장~6/19까지),주식회사 수퍼씨,공공기관/공기업,22.6.13 ~ 22.6.19,15명,"파워블로거/SNS, 취재/인터뷰/기사 경험, 멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력, 타 대외활동 경험",언론/미디어콘텐츠,서포터즈기자단,서울,22.7.1 ~ 22.12.30,대학생
91519,2022년 문화가 있는 날 청춘마이크 인천권 홍보 서포터즈 모집 !,(주)더원아트코리아,중소기업,22.6.13 ~ 22.6.17,3명,"파워블로거/SNS, 타 대외활동 경험",행사/페스티벌디자인/사진/예술/영상,서포터즈,지역 제한없음,22.6.20 ~ 22.12.23,대상 제한 없음
91526,우체국물류지원단(POLA) 대학생 기자단 1기 모집,우체국물류지원단,공공기관/공기업,22.6.13 ~ 22.6.20,6명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험",콘텐츠유통/물류,기자단서포터즈,지역 제한없음,22.6.28 ~ 22.11.30,대학생
91527,2022년 문화가 있는 날 <청춘마이크> 인천권 시민 평가단 모집,(주)더원아트코리아,중소기업,22.6.13 ~ 22.6.24,3명,"파워블로거/SNS, 휴학 중/시간 투자 가능, 타 대외활동 경험",문화/역사행사/페스티벌,서포터즈기타,인천,22.6.29 ~ 22.11.30,대상 제한 없음
91529,[조선일보사] 2022 아시아프 학생아트매니저﻿ SAM(Student Art Manager) 15기,조선일보사,중견기업,22.6.13 ~ 22.7.1,00명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험",행사/페스티벌디자인/사진/예술/영상,봉사단-국내,서울 마포구,22.7.26 ~ 22.8.21,대학생
91533,KOICA 글로벌 서포터즈 WeKO 4기 모집,KOICA,공공기관/공기업,22.6.13 ~ 22.7.4,130명,"취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 타 대외활동 경험, 기타",사회공헌/교류기타,서포터즈기자단,지역 제한없음,22.6.13 ~ 22.7.4,"대학생, 직장인/일반인"
91549,[국제개발NGO지파운데이션] 2022년 지파운데이션 인턴 추가채용 대학생 대외활동 공모전 채용 사이트 링커리어 https://linkareer.com/,지파운데이션,-,-,0명,모두 지원 가능,,,-,-,-
91556,[ 재규어랜드로버 ] 기업맞춤형 취업과정 _ 무료 취업 컨설팅 (6/22~23),(주)맥시머스,외국계기업,22.6.6 ~ 22.6.17,00명,기타,과학/공학/기술/IT기타,멘토링기타,지역 제한없음,22.6.22 ~ 22.6.23,대상 제한 없음
91557,툴디 서포터즈 1기 모집,주식회사 타라티피에스,중견기업,22.6.13 ~ 22.12.26,10명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 타 대외활동 경험",디자인/사진/예술/영상과학/공학/기술/IT,서포터즈기자단,지역 제한없음,22.7.1 ~ 22.9.30,"대학생, 직장인/일반인"
91558,[무료 취업컨설팅] 휴먼TSS(삼성계열사)_기업맞춤형 취업과정 (6/29~30),(주)맥시머스,외국계기업,22.6.6 ~ 22.6.22,00명,기타,기타,멘토링기타,지역 제한없음,22.6.29 ~ 22.6.30,대상 제한 없음
91559,(서포터즈) 브랜드저널리즘 콘텐츠크리에이터 2022-2기 모집,(주)애드플래닛커뮤니케이션,중소기업,22.6.13 ~ 23.2.7,0명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험",경영/컨설팅/마케팅,서포터즈,지역 제한없음,22.6.20 ~ 22.8.31,"대학생, 직장인/일반인"
91565,제23회 제주여성영화제 요망지니(자원활동가) 모집 공고,사)제주여민회,기타,22.6.2 ~ 22.6.26,20명,기타,문화/역사행사/페스티벌,서포터즈기타,제주 제주시,22.6.2 ~ 22.6.26,대상 제한 없음
91566,한국프로축구선수협회 제 5기 서포터즈,(사)한국프로축구선수협회,비영리단체/협회/재단,22.6.13 ~ 22.6.20,0명,"사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 외국어",언론/미디어디자인/사진/예술/영상,서포터즈,지역 제한없음,22.6.13 ~ 22.6.20,대상 제한 없음
91567,[대구 모집] 2022년 대학문화예술키움 글로컬 문화교류 커뮤니티 '실크로드' 참여자 모집 (~07.04),어울리(EOULLI),-,-,0명,모두 지원 가능,,,-,-,-
91569,[대구 모집] 2022년 대학문화예술키움 글로컬 문화교류 커뮤니티 '실크로드' 참여자 모집 (~07.04),어울리(EOULLI),스타트업,22.6.11 ~ 22.7.4,15명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 기타",문화/역사사회공헌/교류,서포터즈기타,대구 중구,22.7.7 ~ 22.8.18,"대학생, 직장인/일반인"
91585,2022년 제1기 보험연구원 온라인 서포터즈 모집,보험연구원,기타,22.6.10 ~ 22.6.27,0명,기타,디자인/사진/예술/영상기타,서포터즈,지역 제한없음,22.7.6 ~ 22.9.5,"대학생, 직장인/일반인"
91588,제68회 백제문화제 서포터즈 모집,"충청남도, 공주시, 부여군 / 백제문화제재단",공공기관/공기업,22.6.13 ~ 22.7.17,00명,"파워블로거/SNS, 기타",문화/역사,서포터즈,지역 제한없음,22.8.1 ~ 22.11.20,대상 제한 없음
91590,한국사회적기업진흥원 대학생 기자단 바이소셜 프렌즈 2기 모집,한국사회적기업진흥원,기타,22.6.13 ~ 22.6.20,0명,기타,경제/금융,기자단서포터즈,지역 제한없음,22.7.1 ~ 22.10.31,대학생
