인덱스,대외활동명,기업명,기업형태,접수기간,모집인원,우대역량,관심분야,활동분야,활동지역,활동기간,참여대상
92822,[서울 모집] 어울리 퍼실리테이션 스타 자격증 취득 교육 참가자 모집,어울리(EOULLI),스타트업,22.6.17 ~ 22.7.5,15명,"멘토링/수업 진행 경험, 리더십, 기타",교육창업/자기계발,강연멘토링,서울 강남구,22.7.9 ~ 22.7.10,"대학생, 직장인/일반인"
92826,<지음 서포트 크루 위드(WITH)> 참여자 모집 기간연장,용산청년지음,공공기관/공기업,22.6.13 ~ 22.6.26,6명,"파워블로거/SNS, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험, 행사 기획 경험",행사/페스티벌콘텐츠,서포터즈,서울 용산구,22.7.1 ~ 22.12.31,"대학생, 직장인/일반인"
92830,2022년 하반기 서초구립반포도서관 대학생 홍보 서포터즈 3기 모집(재능기부자 모집),서초구립반포도서관,공공기관/공기업,22.6.21 ~ 22.7.5,3명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 타 대외활동 경험",디자인/사진/예술/영상콘텐츠,서포터즈마케터,지역 제한없음,22.7.17 ~ 22.12.31,대학생
92835,구립망원청소년문화센터]청소년-노인이 함께하는 시니어키오스쿨 참가자 추가모집,구립망원청소년문화센터,비영리단체/협회/재단,22.6.22 ~ 22.7.6,5명,"휴학 중/시간 투자 가능, 타 대외활동 경험",교육사회공헌/교류,봉사단-국내,지역 제한없음,22.7.9 ~ 22.10.8,"청소년, 대학생"
92836,2022년 하반기 서초구립반포도서관 도서 추천 크리에이터 북포유 3기 모집(재능기부자 모집),서초구립반포도서관,공공기관/공기업,22.6.21 ~ 22.7.5,2명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 타 대외활동 경험",디자인/사진/예술/영상콘텐츠,서포터즈,지역 제한없음,22.7.17 ~ 22.12.31,대상 제한 없음
92854,2022 현대오토에버 스마트모빌리티 공학 체험교육 대학생 멘토 5기 모집(~6/29),사회복지법인 아이들과미래재단,비영리단체/협회/재단,22.6.20 ~ 22.6.29,18명,"멘토링/수업 진행 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험",과학/공학/기술/IT사회공헌/교류,멘토링,"서울, 인천, 경기",22.7.1 ~ 22.7.16,대학생
92857,신용보증기금 제2기 코딧투게더 대학생 봉사단,(주)태원이노베이션,기타,22.6.21 ~ 22.7.3,21명,"리더십, 타 대외활동 경험, 기타",교육기타,봉사단-국내멘토링,대구 동구,22.7.19 ~ 23.5.31,대학생
92865,2022 콘텐츠 플랫폼 개발자 네트워킹 데이,(주)스튜디오사월,중소기업,22.6.22 ~ 22.6.25,00명,컴퓨터 활용능력,과학/공학/기술/IT창업/자기계발,기타,지역 제한없음,22.6.22 ~ 22.6.25,대상 제한 없음
92866,정보보호기업 채용확정형 교육생 1차 모집,한국정보보호산업협회,비영리단체/협회/재단,22.6.17 ~ 22.6.26,00명,기타,과학/공학/기술/IT,강연,서울 송파구,22.7.1 ~ 23.2.28,대상 제한 없음
92867,성공적인 통일을 위한 청년 모의유엔 (MUNSCR) 대사단 및 의장단 모집공고,PSCORE,비영리단체/협회/재단,22.6.22 ~ 22.7.13,40명,"리더십, 타 대외활동 경험",행사/페스티벌환경/에너지,기타,지역 제한없음,22.8.19 ~ 22.9.3,대학생
92873,[스타벅스 창업카페 시즌9] 예비 창업자 멘토링 프로그램 - 브랜딩/마케팅,"스타벅스, 서울창조경제혁신센터",대기업,22.6.22 ~ 22.6.28,00명,기타,경영/컨설팅/마케팅창업/자기계발,멘토링,지역 제한없음,22.6.30 ~ 22.6.30,대상 제한 없음
92874,전통시장 sns 대학생 홍보단 1기 모집,서울특별시 도봉구청,공공기관/공기업,22.6.23 ~ 22.7.6,15명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 타 대외활동 경험, 행사 기획 경험",디자인/사진/예술/영상경영/컨설팅/마케팅,서포터즈,서울 도봉구,22.7.15 ~ 22.10.31,"대학생, 직장인/일반인"
92875,아이돌기획공모전 (You're The Producer,한국방송예술진흥교육원(주),-,-,0명,모두 지원 가능,,,-,-,-
92881,[채용연계 프로그램] W코딩x코렉 일본IT취업 부트캠프 개최!,비웰코리아,기타,22.6.15 ~ 22.7.18,10명,외국어,과학/공학/기술/IT,기타,서울,22.7.25 ~ 22.12.23,"대학생, 직장인/일반인"
92886,2022 종로한복홍보단 누비라(Nubi-ra)4기 2차 모집 안내,종로문화재단,공공기관/공기업,22.6.22 ~ 22.7.24,00명,사진/영상/디자인 툴,문화/역사행사/페스티벌,서포터즈,지역 제한없음,22.8.1 ~ 22.11.30,대상 제한 없음
92889,7기 S-지니어 서대문대학생서포터즈 모집,시립서대문청소년센터,공공기관/공기업,22.6.22 ~ 22.7.14,20명,"멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험, 리더십, 타 대외활동 경험, 행사 기획 경험",행사/페스티벌환경/에너지,서포터즈봉사단-국내,"서울 노원구, 동작구, 마포구, 서대문구, 영등포구, 용산구, 은평구, 종로구",22.8.6 ~ 22.11.26,대학생
92892,K리그 - 축구산업 아카데미 18기,한국프로축구연맹 (K리그),비영리단체/협회/재단,22.6.17 ~ 22.7.1,30명,"휴학 중/시간 투자 가능, 행사 기획 경험",교육경영/컨설팅/마케팅,강연마케터,지역 제한없음,22.7.16 ~ 22.10.29,"대학생, 직장인/일반인"
92897,제10회 부산국제코미디페스티벌 < 코미디스쿨 - 멘토/멘티 > 모집,부산국제코미디페스티벌,기타,22.6.20 ~ 22.7.15,10명,"콘텐츠 기획/제작 경험, 리더십, 타 대외활동 경험, 기타",행사/페스티벌디자인/사진/예술/영상,멘토링기타,부산,22.8.19 ~ 22.8.28,"대학생, 직장인/일반인"
92900,[국가경영전략연구원] 청년 성장 프로그램 UNLOCK 온라인 토론회,국가경영전략연구원,비영리단체/협회/재단,22.6.22 ~ 22.7.10,00명,리더십,경제/금융정치/사회/법률,멘토링강연,지역 제한없음,22.7.12 ~ 22.7.24,대학생
92921,디지털 헬스케어 『MEDICAL HACK 2022』,공모전사무국,-,-,0명,모두 지원 가능,,,-,-,-
92922,디지털 헬스케어 『MEDICAL HACK 2022(~7/24)』,공모전사무국,기타,22.6.17 ~ 22.7.24,0명,기타,기타,기타,지역 제한없음,22.6.17 ~ 22.7.24,대상 제한 없음
92924,2022년 해양법·해양영토 토론대회 개최 (~7/4),공모전사무국,기타,22.6.2 ~ 22.7.4,0명,기타,기타,기타,지역 제한없음,22.6.2 ~ 22.7.4,대상 제한 없음
92930,제 1기 뇌전증 인식개선 청소년 블로그 기자단 모집 안내,사단법인 한국뇌전증협회,비영리단체/협회/재단,22.6.22 ~ 22.7.15,30명,"파워블로거/SNS, 취재/인터뷰/기사 경험, 타 대외활동 경험",언론/미디어의료/보건,기자단서포터즈,지역 제한없음,22.7.25 ~ 22.9.16,청소년
92932,2022년 KT AIFB 중급 자격증 대비반 교육생 모집,WISET,공공기관/공기업,22.6.13 ~ 22.6.27,00명,"컴퓨터 활용능력, 타 대외활동 경험",과학/공학/기술/IT,강연,지역 제한없음,22.7.2 ~ 22.7.9,"대학생, 직장인/일반인"
92937,2022년 글로벌 바이오 콘퍼런스 서포터즈 모집,글로벌바이오콘퍼런스사무국,기타,22.6.27 ~ 22.7.8,00명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 타 대외활동 경험",콘텐츠기타,서포터즈,서울 서초구,22.7.16 ~ 22.9.30,대학생
92939,"노원 청년, 정책을 설계하다! 노원청년정책아카데미 3기 모집",재단법인 굿네이션스,비영리단체/협회/재단,22.6.22 ~ 22.7.8,40명,기타,정치/사회/법률사회공헌/교류,강연멘토링,서울 노원구,22.7.14 ~ 22.8.25,"대학생, 직장인/일반인"
92941,'스-맷 방위대' 금융권 성향 테스트,한국증권인재개발원,중소기업,22.6.22 ~ 22.7.23,000명,기타,경제/금융경영/컨설팅/마케팅,서포터즈기타,지역 제한없음,22.6.22 ~ 22.7.23,대상 제한 없음
92945,[케이스스터디-브랜드마케터편] 마케터 실무 준비하자! (~7/19까지 모집),구로청년이룸,공공기관/공기업,22.6.22 ~ 22.7.19,15명,"파워블로거/SNS, 멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험",교육,마케터,지역 제한없음,22.7.23 ~ 22.8.27,"대학생, 직장인/일반인"
92965,[아이쿠스] 여름 유럽드리머즈 모집중 (~8월초),아이쿠스,기타,22.6.1 ~ 모집시 마감,40명,기타,여행/호텔/항공행사/페스티벌,해외탐방-유료,지역 제한없음,22.8.9 ~ 22.8.31,대학생
92970,[미니인턴X위픽코퍼레이션] 마케팅 전문 뉴스레터 ‘위픽레터’ 활성화를 위한 아이디어 제안하고 2주만에 실무 역량으로 콘텐츠 마케터 취업하자! (~7/6),오픈놀,중소기업,22.6.22 ~ 22.7.6,0명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험",교육경영/컨설팅/마케팅,강연멘토링,지역 제한없음,22.7.8 ~ 22.7.24,대학생
92981,"함께해서 재밌는, 의미 있어 보람찬! 역사해설동아리 <반디>랑 함께하자",사회참여프로젝트동아리 쿵,-,-,0명,모두 지원 가능,,,-,-,-
92985,대전관광공사 2022 세종 관광 S-서포터즈 2기 모집,대전관광공사 / 대전세종관광기업지원센터,공공기관/공기업,22.6.20 ~ 22.7.2,20명,기타,여행/호텔/항공디자인/사진/예술/영상,서포터즈,"대전, 충청",22.7.1 ~ 22.11.30,"대학생, 직장인/일반인"
92986,한국관광공사 합법민박 합민정음 기자단 모집,한국관광공사,공공기관/공기업,22.6.17 ~ 22.6.30,40명,기타,여행/호텔/항공,서포터즈,지역 제한없음,22.6.28 ~ 22.12.31,대상 제한 없음
92987,2022 강서청소년회관 대학생기획단 DAYDAY 6기 모집,강서청소년회관,비영리단체/협회/재단,22.6.20 ~ 22.10.20,0명,기타,경영/컨설팅/마케팅정치/사회/법률,서포터즈,서울 강서구,22.3.1 ~ 23.2.28,대학생
92989,2022년 aT 국민참여혁신단 4기 모집,한국농수산식품유통공사,공공기관/공기업,22.6.16 ~ 22.6.22,0명,기타,정치/사회/법률요리/식품,서포터즈,서울,22.7.1 ~ 22.11.30,대상 제한 없음
92990,2022 코리아헤럴드 글로벌 명예 기자단 1기 모집,코리아헤럴드 / (주)헤럴드,중소기업,22.6.21 ~ 22.7.3,0명,"파워블로거/SNS, 사진/영상/디자인 툴, 기타",콘텐츠,서포터즈기자단,지역 제한없음,22.7.1 ~ 22.12.31,대학생
92991,부산국제모터쇼 공식 SNS 서포터즈 모집,"부산광역시 / BEXCO, KAMA, KAIDA, KAICA",공공기관/공기업,22.6.21 ~ 22.7.3,00명,기타,과학/공학/기술/IT콘텐츠,서포터즈,부산,22.7.7 ~ 22.7.24,대상 제한 없음
92992,제3회 증평군 아동정책 발표 한마당 참가자 모집,증평군 / (주)해본사람들,공공기관/공기업,22.6.20 ~ 22.7.14,00명,기타,정치/사회/법률,기타,충청 증평군,22.7.17 ~ 22.7.27,청소년
