인덱스,대외활동명,기업명,기업형태,접수기간,모집인원,우대역량,관심분야,활동분야,활동지역,활동기간,참여대상
90274,라벨라오페라단 서포터즈 3기 추가 모집,라벨라 오페라단,비영리단체/협회/재단,22.5.31 ~ 22.6.7,00명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험",디자인/사진/예술/영상콘텐츠,서포터즈멘토링,지역 제한없음,22.6.13 ~ 22.12.16,"대학생, 직장인/일반인"
90275,2022 AI 기반 엔지니어 양성과정,과학기술정보통신부 | 정보통신산업진흥원,공공기관/공기업,22.5.30 ~ 22.6.24,30명,"리더십, 기타",교육과학/공학/기술/IT,강연멘토링,지역 제한없음,22.7.1 ~ 22.11.30,직장인/일반인
90277,[범계역 청년출구] 문화로운 청년생활 6월 원데이클래스 참여자 모집,범계역 청년출구,비영리단체/협회/재단,22.5.29 ~ 22.7.22,0명,기타,행사/페스티벌교육,기타,경기 안양시,22.6.15 ~ 22.6.22,"대학생, 직장인/일반인"
90279,[혜움랩스],(주)혜움랩스,-,-,0명,모두 지원 가능,,,-,-,-
90282,"리브위드 엔터십 프로젝트#3 <안녕, 내일> 공정여행 기획단 모집!",리브위드,스타트업,22.5.31 ~ 22.6.12,00명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험",여행/호텔/항공사회공헌/교류,서포터즈기타,지역 제한없음,22.6.20 ~ 22.8.31,"대학생, 직장인/일반인"
90284,리브위드 엔터십 프로젝트#4 <책갈피> 책갈피단 모집,리브위드,스타트업,22.5.31 ~ 22.6.12,00명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험",문화/역사사회공헌/교류,서포터즈기타,서울,22.6.20 ~ 22.8.19,"대학생, 직장인/일반인"
90288,의성군 청년마을 '로컬 러닝 랩 : 나만의-성' 참가자 모집,menTory,기타,22.5.30 ~ 22.7.25,18명,"콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 행사 기획 경험",요리/식품창업/자기계발,봉사단-국내기타,경상 의성군,22.7.4 ~ 22.8.21,"대학생, 직장인/일반인"
90289,스마일게이트 대외활동 스마일커넥터 2기 모집,스마일게이트,대기업,22.5.31 ~ 22.6.20,0명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험",경영/컨설팅/마케팅,서포터즈마케터,지역 제한없음,22.7.4 ~ 22.12.31,대상 제한 없음
90291,강릉종합사회복지관 우리동네 실험실 추가팀 모집,강릉종합사회복지관,비영리단체/협회/재단,22.5.31 ~ 22.6.12,0명,"콘텐츠 기획/제작 경험, 타 대외활동 경험, 행사 기획 경험",행사/페스티벌사회공헌/교류,봉사단-국내기타,강원 강릉시,22.6.20 ~ 22.11.30,대학생
90297,[스마일게이트] SGM 스마일게이트멤버십 인디게임 부문 14기 모집(~6/10),스마일게이트 퓨처랩,대기업,22.5.24 ~ 22.6.10,00명,"콘텐츠 기획/제작 경험, 기타",창업/자기계발콘텐츠,멘토링서포터즈,지역 제한없음,22.7.1 ~ 22.12.31,대상 제한 없음
