인덱스,대외활동명,기업명,기업형태,접수기간,모집인원,우대역량,관심분야,활동분야,활동지역,활동기간,참여대상
98102,"[고용노동부] 영업직무 실무 경험, 단 2일만에 쌓고 취업하자!",한국직업개발원,중소기업,22.8.2 ~ 22.8.17,30명,기타,창업/자기계발,멘토링,서울 강남구,22.8.23 ~ 22.8.24,"대학생, 직장인/일반인"
98112,2022년 구직멘토링 8월 1:4 모의면접 참가자 모집,수원시청년지원센터,비영리단체/협회/재단,22.8.2 ~ 22.8.12,16명,"멘토링/수업 진행 경험, 기타",교육,멘토링,지역 제한없음,22.8.16 ~ 22.8.25,"대학생, 직장인/일반인"
98124,[마포구]혼자 커피 한 잔 할래요,마포구가족센터,비영리단체/협회/재단,22.8.2 ~ 22.8.8,5명,기타,행사/페스티벌교육,기타,서울,22.8.23 ~ 22.8.23,"대학생, 직장인/일반인"
98126,"[인권연대] 이희수 교수의 인류본사 - 중동-오리엔트 문명, 인류 문명의 뿌리를 찾아서",인권연대,비영리단체/협회/재단,22.8.2 ~ 22.8.23,00명,기타,문화/역사교육,강연,지역 제한없음,22.8.24 ~ 22.8.31,대상 제한 없음
98127,알파라운드 '청년 크리에이터 창업특강' 참가자 모집,(사)함께만드는세상(사회연대은행),비영리단체/협회/재단,22.8.1 ~ 모집시 마감,00명,기타,디자인/사진/예술/영상콘텐츠,강연,지역 제한없음,22.8.20 ~ 22.8.22,"대학생, 직장인/일반인"
98133,[NIA] 초보 데이터 분석가를 위한 무료 온라인 세미나 (*스벅이벤트),애드아이티,-,-,0명,모두 지원 가능,,,-,-,-
98139,[모두가 하드캐리 시즌3] 예비 개발자/디자이너/마케터 모여라 '450만원 상금 프로젝트',구로청년이룸,공공기관/공기업,22.8.2 ~ 22.8.21,18명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 리더십, 휴학 중/시간 투자 가능",교육경영/컨설팅/마케팅,마케터멘토링,지역 제한없음,22.8.29 ~ 22.10.20,"대학생, 직장인/일반인"
98142,2022 중랑구 청년활동 지원사업 <1934 청년시대 시즌3> 2기 참여자 모집,청년뿌리 사회적협동조합,비영리단체/협회/재단,22.8.1 ~ 22.8.15,00명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력, 외국어, 리더십, 휴학 중/시간 투자 가능, 타 대외활동 경험, 행사 기획 경험, 기타",콘텐츠기타,서포터즈기타,서울 중랑구,22.9.1 ~ 22.11.30,"대학생, 직장인/일반인"
98148,MBTI 과몰입러 모여라! 「그 누구도 완벽한 사람은 없다」,KB청춘마루,기타,22.7.22 ~ 22.8.29,20명,기타,교육창업/자기계발,강연,지역 제한없음,22.8.20 ~ 22.8.20,대상 제한 없음
98151,'서울 청년의 생명을 살려라! 100인의 제안자들과 함께 토론합니다',서울시자살예방센터,비영리단체/협회/재단,22.8.1 ~ 22.8.22,00명,기타,의료/보건사회공헌/교류,기타,서울,22.8.23 ~ 22.8.23,대상 제한 없음
98153,[전액무료 마케팅 교육] 디지털 관광마케터 양성교육 역량강화 과정 교육생 모집(~8/15(월) 까지),(주)인트윈,중소기업,22.7.22 ~ 22.8.15,25명,"멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험",여행/호텔/항공경영/컨설팅/마케팅,마케터강연,지역 제한없음,22.8.20 ~ 22.8.28,대상 제한 없음
98159,프론트엔드 개발자 직무 멘토링(온라인/무료),사단법인 열린옷장,비영리단체/협회/재단,22.8.2 ~ 22.8.21,0명,기타,과학/공학/기술/IT기타,멘토링,지역 제한없음,22.8.25 ~ 22.8.25,대상 제한 없음
98162,[솔데스크-성균관대]자바.파이썬.빅데이터 개발자 국비케이디지털 무료취업교육(8월마감),솔데스크,중견기업,22.8.2 ~ 22.8.16,30명,"컴퓨터 활용능력, 리더십",과학/공학/기술/IT,기타강연,지역 제한없음,-,직장인/일반인
98164,인터파크 투어 크루 포착이 3기 모집,주식회사 데이드,중소기업,22.8.2 ~ 22.8.21,10명,파워블로거/SNS,여행/호텔/항공디자인/사진/예술/영상,서포터즈,지역 제한없음,22.8.29 ~ 22.11.30,대상 제한 없음
