인덱스,대외활동명,기업명,기업형태,접수기간,모집인원,우대역량,관심분야,활동분야,활동지역,활동기간,참여대상
69379,*추가모집* [굿네이버스] NGO Traveler 5기 모집 (~09/22),굿네이버스 캠페인사업팀,비영리단체/협회/재단,21.8.9 ~ 21.9.22,00명,타 대외활동 경험,사회공헌/교류기타,봉사단-국내기타,"서울, 부산, 대구, 인천, 광주, 대전, 울산, 경기, 강원, 충청",21.8.9 ~ 21.9.22,대학생
69400,<빵빵런2021> 빵에 진심인 빵둥이들 달려라!,1986프로덕션,기타,21.9.1 ~ 21.9.15,00명,기타,문화/역사체육/헬스,기타,지역 제한없음,21.9.26 ~ 21.9.26,대상 제한 없음
69401,제6회 글로벌이노베이터페스타(GIF2021) 온라인 청년 서포터즈 모집,(주)코리아커뮤니케이션즈,중소기업,21.9.13 ~ 21.10.6,50명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험",행사/페스티벌과학/공학/기술/IT,서포터즈,지역 제한없음,21.10.5 ~ 21.11.17,"대학생, 직장인/일반인"
69403,「금피아」9기 금융권 취업 멘토링,금피아,대기업,21.9.14 ~ 21.9.19,0명,기타,경제/금융,멘토링,지역 제한없음,21.9.23 ~ 21.9.27,대상 제한 없음
69405,[사단법인 대한민국청소년의회] '알쓸신정 - 선거편' 알아두면 쓸데있는 신비한 정치사전 MZ세대 패널 4인 모집,(사)대한민국청소년의회,비영리단체/협회/재단,21.9.14 ~ 21.10.11,4명,기타,행사/페스티벌정치/사회/법률,강연기타,경기 수원시,21.9.25 ~ 21.9.25,대상 제한 없음
69407,"[우리, 씨링해!] 커플 SNS 씨링(See-ring)에서 서포터즈를 모집합니다!",아트닝,중소기업,21.9.13 ~ 21.10.11,40명,"파워블로거/SNS, 콘텐츠 기획/제작 경험",디자인/사진/예술/영상콘텐츠,서포터즈,지역 제한없음,21.10.11 ~ 22.1.14,대상 제한 없음
69409,[채용약정형] 빅데이터 기반의 JAVA 웹서비스 개발자 양성과정,아이티윌,중견기업,21.9.14 ~ 21.10.19,0명,컴퓨터 활용능력,교육과학/공학/기술/IT,강연멘토링,서울 강남구,21.10.20 ~ 22.4.21,"대학생, 직장인/일반인"
69430,[LG유플러스] 유대감 9기 모집,LG유플러스,대기업,21.9.13 ~ 21.10.11,0명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 기타",디자인/사진/예술/영상경영/컨설팅/마케팅,서포터즈마케터,지역 제한없음,21.11.1 ~ 22.4.30,대상 제한 없음
69441,어벤더치커피 서포터즈 1기 모집,(주)카페폴인,중소기업,21.9.10 ~ 21.9.23,30명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력, 외국어, 리더십, 휴학 중/시간 투자 가능, 타 대외활동 경험, 행사 기획 경험, 기타",요리/식품콘텐츠,서포터즈,지역 제한없음,21.10.1 ~ 21.11.30,대학생
69444,탱글티저 서포터즈 'TT 헤어 스쿼드 4기' 모집,탱글티저,중소기업,21.9.14 ~ 21.9.28,20명,사진/영상/디자인 툴,뷰티/미용/화장품기타,서포터즈,지역 제한없음,21.10.1 ~ 21.12.31,"대학생, 직장인/일반인"
69445,2021년 하이드로 플라스크 대학생 서포터즈 모집,하이드로 플라스크,외국계기업,21.9.15 ~ 21.9.29,15명,기타,환경/에너지,서포터즈,지역 제한없음,21.10.1 ~ 21.12.31,대학생
69446,[멘토링으로 알바까지?!] 달꿈 ‘2021 대학생멘토단’ 모집,(주)달꿈,중소기업,21.9.15 ~ 상시모집,00명,멘토링/수업 진행 경험,교육,멘토링,"서울, 인천, 경기",21.9.15 ~ 21.12.31,대학생
69452,문화다양성 축제 MAMF(맘프) 2021 자원봉사단 모집,MAMF(맘프)2021추진위원회 사무국,비영리단체/협회/재단,21.9.1 ~ 21.9.30,500명,파워블로거/SNS,행사/페스티벌,서포터즈,지역 제한없음,21.10.1 ~ 21.10.31,대상 제한 없음
69454,국(제)보(건) 스-포터즈 1기 모집,국제한인간호재단,기타,21.9.13 ~ 21.9.24,5명,기타,의료/보건,서포터즈,지역 제한없음,21.10.1 ~ 22.2.28,"대학생, 직장인/일반인"
69455,2021년도 꿈사다리 장학생 진로멘토링 캠프 교육봉사자 모집,(사)대한민국교육봉사단,비영리단체/협회/재단,21.9.14 ~ 21.9.30,00명,"멘토링/수업 진행 경험, 리더십, 휴학 중/시간 투자 가능, 타 대외활동 경험",교육,멘토링봉사단-국내,지역 제한없음,21.11.5 ~ 21.11.27,대학생
69463,[한국산업기술대학교] 디지털 전문가 되는 K-디지털 트레이닝,한국산업기술대학교,비영리단체/협회/재단,21.9.15 ~ 21.10.6,0명,컴퓨터 활용능력,교육과학/공학/기술/IT,멘토링,지역 제한없음,21.10.13 ~ 22.2.18,대상 제한 없음
69465,엘리 출판사 서포터즈 1기 모집,북하우스퍼블리셔스,중소기업,21.9.15 ~ 23.1.11,30명,파워블로거/SNS,언론/미디어콘텐츠,서포터즈,지역 제한없음,21.9.28 ~ 21.12.31,대상 제한 없음
69466,"메타버스 체험 가능한 빅데이터 분석 원데이클래스 9,900원에 해보지 않을래?",스마트인재캠퍼스,중소기업,21.9.15 ~ 21.10.15,0명,"컴퓨터 활용능력, 기타",교육과학/공학/기술/IT,강연기타,지역 제한없음,21.10.16 ~ 21.10.17,대상 제한 없음
69467,마마무 기획사 RBW X 엔준모 앨범 기획 & 발매 실무 프로젝트 2기,(주)커넥서스랩,중소기업,21.9.13 ~ 21.10.10,25명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험",교육콘텐츠,강연멘토링,서울 광진구,21.10.13 ~ 21.11.29,대상 제한 없음
69482,양천구 광역일자리 카페 10월 특강<슬기로운 개발생활>,,-,-,0명,모두 지원 가능,,,-,-,-
69496,icoop 자연드림 부산권역과 함께하는 굿네이버스 바른환경생활 시즌2 참여자 모집,굿네이버스 부산동부지부,비영리단체/협회/재단,21.9.13 ~ 21.9.30,100명,기타,환경/에너지사회공헌/교류,기타서포터즈,지역 제한없음,21.10.4 ~ 21.12.3,대상 제한 없음
69499,효창독립100년공원 시민홍보단 3기 모집 <효창독립 메모리얼 챌린지>,서울특별시,공공기관/공기업,21.9.13 ~ 21.9.29,100명,"파워블로거/SNS, 콘텐츠 기획/제작 경험, 타 대외활동 경험",문화/역사행사/페스티벌,서포터즈기자단,지역 제한없음,21.10.8 ~ 21.12.10,대상 제한 없음
69501,"[Z커리어] 경력같은 신입되기 프로젝트, Z커리어 2기 모집",리박스컨설팅,중소기업,21.9.10 ~ 21.9.25,24명,"콘텐츠 기획/제작 경험, 리더십",경영/컨설팅/마케팅콘텐츠,기타,서울 성동구,21.10.9 ~ 21.12.18,"대학생, 직장인/일반인"
69503,[동작구청] 경영지원 전문가 양성 및 취업연계과정 참여자 추가모집,동작구청,공공기관/공기업,21.9.15 ~ 21.10.11,0명,기타,경제/금융경영/컨설팅/마케팅,멘토링강연,서울 동작구,21.9.15 ~ 21.10.11,직장인/일반인
69504,디지털 핵심 실무인재 양성사업(K디지털),고용노동부 & 아시아경제,비영리단체/협회/재단,21.9.15 ~ 21.10.6,00명,"컴퓨터 활용능력, 기타",교육과학/공학/기술/IT,기타서포터즈,지역 제한없음,21.10.5 ~ 22.4.13,"대학생, 직장인/일반인"
69506,2021 상상평화 캠프(2021 Imagine Peace Camp),마케팅그룹티엔씨,중소기업,21.9.15 ~ 21.10.11,198명,기타,기타,강연기타,강원 평창군,21.10.27 ~ 21.10.31,대학생
69508,2021 천안 문화도시 학교 시민문화기획자 양성과정 참여자 모집,(주)백제에서놀자,중소기업,21.9.13 ~ 21.9.30,50명,"콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능",경영/컨설팅/마케팅사회공헌/교류,멘토링강연,충청,21.9.13 ~ 21.10.5,대상 제한 없음
