인덱스,공모전명,기업명,기업형태,시상규모,공모분야,참여대상,접수기간,활동혜택
82566,제20회 푸른인천 글쓰기대회,(주)경인일보,공공기관/공기업,5만 원,문학/시나리오,청소년,22.4.4 ~ 22.4.22,기타
82567,2022년 독립기념관 ‘내가 찍은 봄’ 사진공모전,독립기념관,비영리단체/협회/재단,180만 원,사진/영상/UCC,대상 제한 없음,22.3.23 ~ 22.5.31,상장 수여
82579,제5회 노인 인권 사진공모전 「노을빛 : 노인의 오늘을 빛내는 시간」,전라남도 서부노인보호전문기관,비영리단체/협회/재단,100만 원,사진/영상/UCC,대상 제한 없음,22.3.14 ~ 22.5.20,기타
82581,2022 장애인의 날 기념 승가원 걷기 마라톤 대회,사회복지법인 승가원,비영리단체/협회/재단,10만 원,기타,대상 제한 없음,22.3.8 ~ 22.4.5,기타
82590,제 2회 나디오 청후감 대회 (감상평과 목소리),이어가다,중소기업,100만 원,문학/시나리오,대상 제한 없음,22.3.23 ~ 22.4.10,기타
82623,(주)카페봄봄 대학생 캐릭터 공모전,(주)카페봄봄,중소기업,150만 원,캐릭터/만화/게임,대학생,22.3.28 ~ 22.4.18,기타
82626,러브 어페어 팬아트 챌린지,네이버 시리즈,대기업,400만 원,디자인/순수미술/공예,대상 제한 없음,22.3.28 ~ 22.4.17,기타
82627,2022 지식재산 정보 활용 창업 경진대회,특허청 / 한국특허정보원,공공기관/공기업,1700만 원,창업,대상 제한 없음,22.3.14 ~ 22.5.9,기타
82629,2022 SF 오디오 스토리 어워즈,"다산북스, 밀리의 서재",중견기업,2000만 원,문학/시나리오,대상 제한 없음,22.3.3 ~ 22.5.30,기타
82631,제27회 한겨레문학상 공모,한겨레신문사,중견기업,-,문학/시나리오,대상 제한 없음,22.3.6 ~ 22.3.31,기타
82632,제10회 담양 송순문학상 작품 공모,담양군,공공기관/공기업,3000만 원,문학/시나리오,대상 제한 없음,22.3.2 ~ 22.8.31,기타
