,idx,foundation,scholarship_type,근로장학,기숙사/주거지원,기타장학,대출지원,연수/연구장학,장학금,취업연계/산학장학,target,고등학생,기타/일반,대학생,대학원생,전문대생,중학생,청년,초등학생,선발 인원(명),선발인원규모,장학혜택(만원),장학혜택규모,memo
3091,5420,한국사회적기업진흥원,"장학프로그램, 기타장학",0,0,1,0,0,0,0,"중학생, 고등학생, 대학생, 청년, 기타/일반",1,1,1,0,0,1,1,0,39,중,2000,대,한국사회적기업진흥원에서 창의적인 아이디어로 사회적 가치를 창출하는 소셜벤처 아이디어를 발굴하고 사업화를 지원하는 사업입니다.
3092,5421,경기도일자리재단,기타장학,0,0,1,0,0,0,0,청년,0,0,0,0,0,0,1,0,0,인원미정,0,금액미정,경기도일자리재단에서 경기도 청년들의 취업을 지원하기 위해 공기업 및 사기업 실전 특강을 무료로 지원하는 사업입니다.
3093,5422,울산광역시,대출지원,0,0,0,1,0,0,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,0,인원미정,0,금액미정,한국장학재단에서 학자금 대출을 받은 학생들을 대상으로 대출이자를 지원하는 울산시의 사업입니다.
3094,5423,함안군장학재단,장학금,0,0,0,0,0,1,0,"중학생, 고등학생, 대학생",1,0,1,0,0,1,0,0,0,인원미정,300,대,함안군장학재단에서 함안군 교육발전과 지역인재 육성을 위해 지원하는 장학금입니다.
3095,5424,종근당고촌재단,기숙사/주거지원,0,1,0,0,0,0,0,대학생,0,0,1,0,0,0,0,0,99,대,0,금액미정,종근당고촌재단에서 통학에 어려움이 있는 서울 수도권 대학 재학생들에게 서울 소재 기숙시설을 제공하는 지원사업입니다.
3096,5425,보은군민장학회,장학금,0,0,0,0,0,1,0,"중학생, 고등학생",1,0,0,0,0,1,0,0,0,인원미정,40,소,"보은군민장학화에서 보은군 출신 지역 인재 양성을 위해 중, 고등학생에게 최대 40만원을 지원하는 장학금입니다."
3097,5426,경상남도,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,25,중,200,중,경상남도에서 도내 중소기업 노동자의 자녀 총 25명에게 최대 200만원을 지원하는 장학금입니다.
3098,5427,한미교육위원단,장학금,0,0,0,0,0,1,0,"대학원생, 청년",0,0,0,1,0,0,1,0,9,소,0,금액미정,"한미교육위원단에서 언론계에서 주도적 역할을 할 기자가 미국 대학에서 대학원 수준의 비학위과정 이수와 미국의 사회, 문화 및 전문분야를 경험하고 리더십을 개발할 기회를 통해 언론인으로서 전문성을 높이기 위해 실시하는 사업입니다."
3099,5428,시흥시인재양성재단,장학금,0,0,0,0,0,1,0,"초등학생, 중학생, 고등학생, 대학생, 전문대생, 청년",1,0,1,0,1,1,1,1,916,대,200,중,"시흥시인재양성재단에서 시민의 배움을 응원하고 지역인재를 양성하기 위해 시흥시 학생, 청년들에게 지원하는 장학금입니다."
3100,5429,농림축산식품부,기타장학,0,0,1,0,0,0,0,"청년, 기타/일반",0,1,0,0,0,0,1,0,0,인원미정,0,금액미정,"시골언니 프로젝트는 농림축산식품부의 청년여성 농업농촌탐색 교육사업으로, 지역에 먼저 정착한 선주민(시골언니)의 활동을 중심으로 청년 여성들이 농업농촌에서의 삶을 구체적으로 모색할 수 있도록 제안하는 프로젝트입니다."
3101,5430,광명문화재단,기타장학,0,0,1,0,0,0,0,"청년, 기타/일반",0,1,0,0,0,0,1,0,0,인원미정,0,금액미정,"광명문화재단에서 잠재력 있는 광명시의 청년예술인을 발굴하고, 창작 활동을 독려하여 지역 예술 현장으로 진입을 도모하고자 지원하는 사업입니다."
3102,5431,예금보험공사,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,300,대,"예금보험공사에서 사회안전망 복원 및 지속가능한 민간 일자리 창출, 탄소중립 실현을 뒷받침하기 위해 사회경제기업 성장을 지원하는 사업입니다."
3103,5432,도레이첨단소재,"취업연계/산학장학, 기타장학",0,0,1,0,0,0,1,대학원생,0,0,0,1,0,0,0,0,0,인원미정,1000,대,"도레이첨단소재에서 내일을 만들어갈 글로벌 인재를 찾기위해 석사, 박사 과정 재학생을 대상으로 산학장학생을 모집하는 사업입니다."
3104,5433,마포문화재단,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,6,소,0,금액미정,마포문화재단에서 코로나19로 위축된 인디음악계 활성화 기여 및 뮤지션 창작 활동 지원을 위해 실시하는 사업입니다.
3105,5434,한국예술인복지재단,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,700,대,"한국예술인복지재단에서 코로나19의 영향으로 예술활동에 직, 간접 피해를 입으신 예술인들을 대상으로 하는 코로나19 특별 융자 사업입니다."
3106,5435,한국예술인복지재단,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,700,대,"한국예술인복지재단에서 코로나19의 영향으로 예술활동에 직, 간접 피해를 입으신 예술인들을 대상으로 하는 코로나19 특별 융자 사업입니다."
3107,5436,한국예술인복지재단,"기숙사/주거지원, 기타장학",0,1,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,700,대,한국예술인복지재단에서 예술인들이 생활안정자금을 지원하는 사업입니다.
