,id,activity_name,recruit,prefer,activity_benefit,interests,fields,경영/컨설팅/마케팅,경제/금융,과학/공학/기술/IT,교육,기타,디자인/사진/예술/영상,문화/역사,뷰티/미용/화장품,사회공헌/교류,언론/미디어,여행/호텔/항공,요리/식품,유통/물류,의료/보건,정치/사회/법률,창업/자기계발,체육/헬스,콘텐츠,행사/페스티벌,환경/에너지,교통비,봉사활동시간,사은품 지급,수료증 및 인증서,실무 교육,인턴쉽 기회,입사시 혜택,전문가/임직원 멘토링,행사 참여,활동비,fields_기타,강연,기자단,마케터,멘토링,봉사단-국내,봉사단-해외,서포터즈,해외탐방-무료,해외탐방-유료,리더십,멘토링/수업 진행 경험,사진/영상/디자인 툴,외국어,우대역량_기타,취재/인터뷰/기사 경험,컴퓨터 활용능력,콘텐츠 기획/제작 경험,타 대외활동 경험,파워블로거/SNS,행사 기획 경험,휴학 중/시간 투자 가능,모집 인원,모집인원규모
1828,127596,2023 청년 서포터즈 '미담' 7기 모집,00명,우대역량_기타,"활동비, 봉사활동시간",기타,서포터즈,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
1829,127599,포라뽀 서포터즈 <라뽀 2기> 모집,20명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험","활동비, 수료증 및 인증서","뷰티/미용/화장품, 콘텐츠","서포터즈, 마케터",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,20,소
1830,127600,"[부산 IT 취업교육] 클라우드 융합 자바 스프링 백엔드 개발자 훈련생 모집! ▶4, 5월",30명,컴퓨터 활용능력,"활동비, 실무 교육","교육, 과학/공학/기술/IT","강연, 멘토링",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,중
1831,127605,[위포트]삼성 GSAT 5일완성 모의고사 빡공캠프 1기 모집,100명,우대역량_기타,사은품 지급,교육,"멘토링, fields_기타",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,중
1832,127612,디지털 트윈 IT 개발자 부트캠프 3기,00명,우대역량_기타,"실무 교육, 전문가/임직원 멘토링","교육, 과학/공학/기술/IT","강연, 멘토링",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
1833,127613,[온라인세미나/무료]데이터사이언티스트가 GPT를 만났을 때,0명,우대역량_기타,전문가/임직원 멘토링,"과학/공학/기술/IT, 기타","강연, 멘토링",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,소
1834,127615,'청년Y' 유-터즈 모집합니다.,10명,휴학 중/시간 투자 가능,"활동비, 수료증 및 인증서","행사/페스티벌, 사회공헌/교류","fields_기타, 서포터즈",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,소
1835,127619,브리츠 신제품 BZ-ANC9 체험단 모집,20명,파워블로거/SNS,"활동비, 사은품 지급",기타,"서포터즈, fields_기타",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,소
1836,127625,"[KISIA] 2023 AI보안 기술개발 교육과정(악성코드/네트워크/개인정보) 교육생 모집(~5/14, ~6/18, ~7/2)",75명,컴퓨터 활용능력,"실무 교육, 전문가/임직원 멘토링","교육, 과학/공학/기술/IT","멘토링, 강연",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75,중
1837,127626,2023년도 'WISET 글로벌 크로스 멘토링 멘티' 모집 공고,150명,"멘토링/수업 진행 경험, 외국어, 휴학 중/시간 투자 가능","전문가/임직원 멘토링, 행사 참여",과학/공학/기술/IT,"멘토링, fields_기타",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,150,대
1839,127636,[오늘마감] 사단법인 메리와 함께 노래로 봉사 하실 분 구해요~! (~3/29),0명,"휴학 중/시간 투자 가능, 타 대외활동 경험","수료증 및 인증서, 봉사활동시간","행사/페스티벌, 디자인/사진/예술/영상",봉사단-국내,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,소
1840,127643,"게임프로그래밍, VR게임개발자 양성 교육생 모집",30명,우대역량_기타,"실무 교육, 수료증 및 인증서","교육, 과학/공학/기술/IT",fields_기타,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,중
1842,127666,2023년 부산시설공단 제13기 대학생 홍보단 영비스코(Young BISCO) 모집,16명,"파워블로거/SNS, 사진/영상/디자인 툴","활동비, 수료증 및 인증서",콘텐츠,서포터즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,16,소
