,id,activity_name,recruit,prefer,activity_benefit,interests,fields,경영/컨설팅/마케팅,경제/금융,과학/공학/기술/IT,교육,기타,디자인/사진/예술/영상,문화/역사,뷰티/미용/화장품,사회공헌/교류,언론/미디어,여행/호텔/항공,요리/식품,유통/물류,의료/보건,정치/사회/법률,창업/자기계발,체육/헬스,콘텐츠,행사/페스티벌,환경/에너지,교통비,봉사활동시간,사은품 지급,수료증 및 인증서,실무 교육,인턴쉽 기회,입사시 혜택,전문가/임직원 멘토링,행사 참여,활동비,fields_기타,강연,기자단,마케터,멘토링,봉사단-국내,봉사단-해외,서포터즈,해외탐방-무료,해외탐방-유료,리더십,멘토링/수업 진행 경험,사진/영상/디자인 툴,외국어,우대역량_기타,취재/인터뷰/기사 경험,컴퓨터 활용능력,콘텐츠 기획/제작 경험,타 대외활동 경험,파워블로거/SNS,행사 기획 경험,휴학 중/시간 투자 가능,모집 인원,모집인원규모
0,120014,[인천 대외활동]청년 대학생을 위한 ⭐Mind-set 명상캠프⭐,15명,우대역량_기타,행사 참여,"교육, 창업/자기계발","fields_기타, 강연",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,소
1,120021,★[만월종합사회복지관] 도담멘토링 멘토 모집★,00명,멘토링/수업 진행 경험,"수료증 및 인증서, 봉사활동시간","교육, 사회공헌/교류","봉사단-국내, 멘토링",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,중
2,120025,[대외활동] 한국전통미술융합진흥원 문화디지털 도슨트를 모집합니다.,00명,"파워블로거/SNS, 멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험","활동비, 수료증 및 인증서","문화/역사, 콘텐츠","서포터즈, fields_기타",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,99,중
3,120027,[원주] KB대학생경제금융교육봉사단 폴라리스 20기 모집,10명,"사진/영상/디자인 툴, 멘토링/수업 진행 경험, 리더십, 휴학 중/시간 투자 가능","활동비, 수료증 및 인증서","교육, 사회공헌/교류","봉사단-국내, 멘토링",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,10,소
4,120033,"경기도 공익활동 시민기록자 양성교육 「공기(공익활동을 기록하다)」 ‘입문’과정 참여자 모집(~2/13,선착순)",30명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 멘토링/수업 진행 경험, 휴학 중/시간 투자 가능","행사 참여, 수료증 및 인증서","언론/미디어, 사회공헌/교류","강연, 멘토링",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,30,중
5,120034,[공공기관] 에코디자이너 3기 모집,5명,"휴학 중/시간 투자 가능, 행사 기획 경험","행사 참여, 수료증 및 인증서","교육, 환경/에너지","서포터즈, fields_기타",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,소
6,120036,인턴 자소서 면접 강의도 무료! <취준 강의 무제한 수강 무료 체험권> 증정 이벤트!,0000000명,우대역량_기타,"사은품 지급, 실무 교육","교육, 경영/컨설팅/마케팅",fields_기타,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,인원미정
8,120057,'아트퍼스트' 시즌1 참여자 모집,00명,우대역량_기타,행사 참여,"교육, 사회공헌/교류","강연, fields_기타",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
9,120059,IT 신규앱 서포터즈 CELPING 프론티어 셀퍼 1기 모집,30명,취재/인터뷰/기사 경험,"활동비, 수료증 및 인증서","과학/공학/기술/IT, 사회공헌/교류","서포터즈, 마케터",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,중
10,120069,캠페인저널리즘 [눈]의 사람들 : [눈] 사람 캠페이너 모집,00명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험","활동비, 수료증 및 인증서","언론/미디어, 콘텐츠","서포터즈, 기자단",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,99,중
11,120074,2023년 경상남도청소년참여위원회 위원 모집(중·고·대학생)안내,10명,리더십,"수료증 및 인증서, 교통비","정치/사회/법률, 사회공헌/교류","서포터즈, fields_기타",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,소
12,120099,[이석영뉴미디어도서관] 영크리에이터크루 4기 모집,50명,"파워블로거/SNS, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 행사 기획 경험","행사 참여, 봉사활동시간","행사/페스티벌, 디자인/사진/예술/영상",서포터즈,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,50,중
14,120109,[알파라운드] 청년 카페창업 라운드 프로젝트 : 더 테라스 카페 4기 운영자 모집 (~2/6),1명,우대역량_기타,전문가/임직원 멘토링,"요리/식품, 창업/자기계발",fields_기타,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,소
15,120110,[시사일본어사/시사중국어사] 일본어/중국어 전공 대학생 기자단 25기 모집(~2/21),10명,"사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 외국어","활동비, 수료증 및 인증서","문화/역사, 콘텐츠","서포터즈, 기자단",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,10,소
16,120112,[금융사관학교] 금융사관학교 56기 국제경제전문가 과정 모집 (~3/1),00명,우대역량_기타,"실무 교육, 인턴쉽 기회",경제/금융,"멘토링, 강연",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
17,120114,부곡종합사회복지관 홍보 서포터즈 3기 모집,10명,"파워블로거/SNS, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력","수료증 및 인증서, 봉사활동시간","콘텐츠, 사회공헌/교류","서포터즈, 봉사단-국내",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,10,소
18,120118,시립노원청소년센터 청소년활동서포터즈 '하나다' 모집,10명,타 대외활동 경험,"수료증 및 인증서, 봉사활동시간","행사/페스티벌, 기타",서포터즈,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,소
19,120119,[알파라운드] 청년 기업 창업/육성 공간지원 사업 알파라운드 청년 창공라운드 입주기업 모집 (~2/13),5명,우대역량_기타,행사 참여,"창업/자기계발, 기타",fields_기타,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,소
20,120123,HOWW와 함께하는 4주간의 사진 촬영 프로젝트,1명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력, 휴학 중/시간 투자 가능","활동비, 행사 참여","디자인/사진/예술/영상, 콘텐츠","서포터즈, fields_기타",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,소
21,120129,2023년 삼각산시민청 공연 예술가 5기 모집공고,00명,우대역량_기타,활동비,"디자인/사진/예술/영상, 기타",fields_기타,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
22,120130,[KYPA] KYPA 라미봉사단 2기 모집(~2/8),00명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력, 타 대외활동 경험","수료증 및 인증서, 봉사활동시간","교육, 사회공헌/교류","서포터즈, 봉사단-국내",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,99,중
23,120132,[시사일본어사/시사중국어사] 일본어/중국어 전공 대학생 기자단 26기 모집(~2/21),10명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험","활동비, 수료증 및 인증서","언론/미디어, 콘텐츠","서포터즈, 기자단",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10,소
24,120141,2023 꼼지락발전소 홍보서포터즈 'YES' 4기 모집,10명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력","수료증 및 인증서, 봉사활동시간","행사/페스티벌, 콘텐츠",서포터즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,10,소
25,120142,안산시중독관리통합지원센터 청년중독사업 홍보참여단 서포터즈 모집,10명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험","활동비, 수료증 및 인증서",콘텐츠,서포터즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,10,소
26,120145,축구산업 아카데미 19기 모집,30명,우대역량_기타,"전문가/임직원 멘토링, 수료증 및 인증서","교육, 체육/헬스","강연, 멘토링",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,중
27,120148,2023년 동대문구가족센터 2기 대학생 활동가 모집,00명,"멘토링/수업 진행 경험, 리더십, 휴학 중/시간 투자 가능","활동비, 교통비","교육, 사회공헌/교류","멘토링, fields_기타",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,99,중
28,120149,[안내] CJ올리브네트웍스SW창의캠프 대학생봉사단 CJ UNIT 8기 모집 안내 (2/1 수 ~ 2/13 월),30명,"사진/영상/디자인 툴, 멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력, 휴학 중/시간 투자 가능, 타 대외활동 경험","수료증 및 인증서, 입사시 혜택","과학/공학/기술/IT, 사회공헌/교류","봉사단-국내, 멘토링",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,30,중
29,120150,2023년 광진청소년센터 청소년 공간활성화 기획단 모집!,20명,"파워블로거/SNS, 콘텐츠 기획/제작 경험, 행사 기획 경험","수료증 및 인증서, 봉사활동시간","행사/페스티벌, 콘텐츠","서포터즈, 봉사단-국내",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,20,소
30,120153,[미니인턴X주크박스] 나만 알 수 없는 K-술의 매력을 세계로 퍼뜨리자! ‘주크박스’의 기획자를 찾습니다!(~2/12),00명,휴학 중/시간 투자 가능,"실무 교육, 전문가/임직원 멘토링",교육,"멘토링, 강연",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,중
31,120156,[KISIA 한국정보보호교육원 2023년도 교육과정 온라인 설명회],00명,우대역량_기타,행사 참여,"과학/공학/기술/IT, 기타","강연, fields_기타",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
32,120190,서민금융진흥원 제5기 서민금융 서포터즈 모집,16명,우대역량_기타,"활동비, 수료증 및 인증서",경제/금융,서포터즈,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,소
33,120191,2023년 광명도시공사 고객 모니터링단 모집,0명,우대역량_기타,활동비,정치/사회/법률,서포터즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,소
34,120192,[2023 크리스천 창업 비기너 ] 프로그램 참여자모집 (열매나눔재단),00명,우대역량_기타,수료증 및 인증서,창업/자기계발,fields_기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
35,120193,2023년도 의정부시 길고양이 중성화(TNR) 사업 시민자원봉사자 모집,00명,우대역량_기타,봉사활동시간,사회공헌/교류,봉사단-국내,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
36,120194,ICT학점연계프로젝트인턴십 참여 대학생 모집,150명,우대역량_기타,"활동비, 실무 교육",창업/자기계발,fields_기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,150,대
37,120195,한국지역난방공사 꿈드림 기자단 11기 모집,8명,우대역량_기타,행사 참여,"정치/사회/법률, 콘텐츠",기자단,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,소
38,120196,시민레저스포츠타운 조성을 위한 시민기획단 모집,20명,우대역량_기타,행사 참여,체육/헬스,fields_기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,소
39,120197,넷마블 대학생 서포터즈 마블챌린저 19기 모집,0명,우대역량_기타,"활동비, 수료증 및 인증서",과학/공학/기술/IT,서포터즈,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,소
40,120198,2023년 굿네이버스 경남동부 초단시간근로자 모집,0명,우대역량_기타,활동비,사회공헌/교류,"봉사단-국내, 멘토링",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,소
41,120199,제4기 서산여행 SNS 서포터즈 모집,20명,"파워블로거/SNS, 사진/영상/디자인 툴","활동비, 수료증 및 인증서","여행/호텔/항공, 콘텐츠",서포터즈,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,20,소
42,120200,2023 대구 청소년 봉사동아리 연합회 단비 모집,0명,우대역량_기타,봉사활동시간,사회공헌/교류,봉사단-국내,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,소
43,120201,캠페인저널리즘 눈의 사람들 캠페이너 모집,0명,"파워블로거/SNS, 사진/영상/디자인 툴","수료증 및 인증서, 봉사활동시간",창업/자기계발,fields_기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,소
44,120202,탐앤탐스 2023 공식 서포터즈 탐리포터 25기 모집,0명,우대역량_기타,"사은품 지급, 수료증 및 인증서",요리/식품,서포터즈,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,소
45,120203,JKD 1기 명예기자단 모집,0명,우대역량_기타,"활동비, 수료증 및 인증서",언론/미디어,기자단,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,소
46,120204,하이트진로 통합 서포터즈 하이파이브 5기 모집,0명,우대역량_기타,"사은품 지급, 수료증 및 인증서",요리/식품,서포터즈,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,소
47,120205,"금융소비자연맹, 소비자기자 13기 40명 선발 모집",40명,우대역량_기타,"활동비, 수료증 및 인증서",경제/금융,서포터즈,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,중
48,120206,안산시중독관리통합지원센터 홍보참여단 서포터즈 모집,10명,"파워블로거/SNS, 사진/영상/디자인 툴","활동비, 수료증 및 인증서","과학/공학/기술/IT, 콘텐츠",서포터즈,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10,소
49,120207,동해 영상홍보단 모집,10명,우대역량_기타,수료증 및 인증서,디자인/사진/예술/영상,서포터즈,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,소
50,120208,상생지락 멘토링 7기 모집,50명,우대역량_기타,"활동비, 봉사활동시간","교육, 사회공헌/교류",멘토링,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,중
51,120209,2023년 구립동대문장애인종합복지관 나누미 봉사단 2기 모집,3명,우대역량_기타,"수료증 및 인증서, 봉사활동시간",사회공헌/교류,봉사단-국내,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,소
52,120221,"[인천광역시계양구시설관리공단]계양청소년문화의집 청년서포터즈 ""두 잇 클럽"" 1기 참가자 모집(~2.28)",15명,"휴학 중/시간 투자 가능, 행사 기획 경험","수료증 및 인증서, 봉사활동시간","행사/페스티벌, 사회공헌/교류","서포터즈, 멘토링",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,소
53,120223,2023 인천광역시사회적경제청년공감기획단 4기 모집 연장공고,12명,"사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능","활동비, 전문가/임직원 멘토링","언론/미디어, 사회공헌/교류",기자단,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,12,소
54,120225,2023 한부모가족 인식개선 서포터즈 '위패밀리' 2기,00명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험","수료증 및 인증서, 봉사활동시간","콘텐츠, 사회공헌/교류",서포터즈,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,99,중
55,120228,청소년축제를 기획하고 운영하는 [놀이문화기획단 YOLO] 단원 모집(서울시 서초구),25명,"리더십, 행사 기획 경험","수료증 및 인증서, 봉사활동시간","행사/페스티벌, 사회공헌/교류",서포터즈,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,25,중
56,120230,2023 패스트캠퍼스 0원 챌린저,00명,우대역량_기타,실무 교육,"교육, 창업/자기계발","강연, 멘토링",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
57,120233,[K디지털트레이닝] 3D 기반 실감형(VR/AR) 콘텐츠 제작 취업교육생 모집,25명,우대역량_기타,"실무 교육, 수료증 및 인증서","교육, 디자인/사진/예술/영상","fields_기타, 강연",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,중
58,120255,"[국비무료, 취업] MICE 행사기획 전문가 / 호텔 전문가 Boot camp",25명,"멘토링/수업 진행 경험, 외국어, 휴학 중/시간 투자 가능, 행사 기획 경험","활동비, 실무 교육","여행/호텔/항공, 행사/페스티벌","멘토링, fields_기타",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,25,중
59,120258,[2D/3D그래픽 + 영상편집 + 웹퍼블리싱] 모두 배우고 취업하는 과정 교육생 모집,20명,컴퓨터 활용능력,"실무 교육, 수료증 및 인증서","교육, 디자인/사진/예술/영상",fields_기타,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,소
60,120261,"[연장/세이브더칠드런] 중부2지역본부 인천, 경기 영세이버 모집(~2/20)",35명,사진/영상/디자인 툴,"수료증 및 인증서, 봉사활동시간","교육, 사회공헌/교류","봉사단-국내, 서포터즈",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,중
61,120264,2023 청년친화형 기업 ESG 지원사업 DT 직무체험 프로젝트 2기 참여자 모집,100명,우대역량_기타,"실무 교육, 전문가/임직원 멘토링","교육, 디자인/사진/예술/영상","강연, 멘토링",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,중
62,120266,[지속가능얼라이언스 세이울] 문화공공외교대사 19기 모집,00명,우대역량_기타,"수료증 및 인증서, 인턴쉽 기회","사회공헌/교류, 기타","서포터즈, fields_기타",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
63,120268,[대학생 ESG 위원회 5기] 단원을 모집합니다.,00명,파워블로거/SNS,"수료증 및 인증서, 인턴쉽 기회","환경/에너지, 사회공헌/교류","마케터, 서포터즈",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99,중
64,120269,[채용확정형] AI·빅데이터·클라우드 무료 취업교육생 모집,00명,우대역량_기타,"실무 교육, 전문가/임직원 멘토링","교육, 과학/공학/기술/IT","강연, 멘토링",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
